(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,12,conf-12,285.3869,-2989.36459,254.1,10.96,33.18,56.07,0.00,1.00,0.00,0.00,0.00,263.74,263.74,3.65
,1,145,conf-145,326.5602,-2989.357529,,22.19,37.62,63.56,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,263.7375,-2989.417474,,3.65,0.00,0.00,1.00,,1.00,263.74,263.74,,,
,3,172,conf-172,282.5317,-2989.389409,,10.06,17.61,29.76,0.00,,0.00,0.00,0.00,,,
,4,202,conf-202,282.709,-2989.358678,,10.12,36.89,62.34,0.00,,0.00,0.00,0.00,,,
,5,205,conf-205,307.2499,-2989.320903,,17.30,60.60,102.39,0.00,,0.00,0.00,0.00,,,
,6,242,conf-242,274.2029,-2989.397059,,7.33,12.81,21.65,0.00,,0.00,0.00,0.00,,,
,7,333,conf-333,280.9499,-2989.363988,,9.56,33.56,56.71,0.00,,0.00,0.00,0.00,,,
,8,497,conf-497,282.8868,-2989.367047,,10.18,31.64,53.47,0.00,,0.00,0.00,0.00,,,
,9,558,conf-558,269.0034,-2989.377287,,5.54,25.22,42.61,0.00,,0.00,0.00,0.00,,,
,10,578,conf-578,289.5747,-2989.374714,,12.25,26.83,45.34,0.00,,0.00,0.00,0.00,,,
,11,584,conf-584,311.0281,-2989.337314,,18.30,50.30,84.99,0.00,,0.00,0.00,0.00,,,
,12,702,conf-702,284.1984,-2989.351837,,10.59,41.19,69.59,0.00,,0.00,0.00,0.00,,,
,13,746,conf-746,292.4778,-2989.365225,,13.12,32.79,55.40,0.00,,0.00,0.00,0.00,,,
