(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,12,conf-12,279.0163,-2989.283535,254.51,8.78,25.52,43.11,0.00,1.00,0.00,0.00,0.00,266.33,266.33,4.44
,1,145,conf-145,327.7404,-2989.25932,,22.34,40.71,68.79,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,260.5733,-2989.313418,,2.33,6.76,11.43,0.00,,0.00,0.00,0.00,,,
,3,172,conf-172,273.2319,-2989.296257,,6.85,17.53,29.62,0.00,,0.00,0.00,0.00,,,
,4,202,conf-202,303.5423,-2989.249017,,16.15,47.18,79.71,0.00,,0.00,0.00,0.00,,,
,5,205,conf-205,303.9814,-2989.23228,,16.27,57.68,97.46,0.00,,0.00,0.00,0.00,,,
,6,242,conf-242,271.9416,-2989.27348,,6.41,31.82,53.77,0.00,,0.00,0.00,0.00,,,
,7,333,conf-333,300.5791,-2989.253436,,15.33,44.40,75.03,0.00,,0.00,0.00,0.00,,,
,8,497,conf-497,275.6259,-2989.283532,,7.66,25.52,43.12,0.00,,0.00,0.00,0.00,,,
,9,558,conf-558,266.3264,-2989.324197,,4.44,0.00,0.00,1.00,,1.00,266.33,266.32,,,
,10,578,conf-578,289.4054,-2989.247267,,12.06,48.27,81.57,0.00,,0.00,0.00,0.00,,,
,11,584,conf-584,311.4654,-2989.243175,,18.29,50.84,85.91,0.00,,0.00,0.00,0.00,,,
,12,702,conf-702,290.094,-2989.255964,,12.27,42.82,72.35,0.00,,0.00,0.00,0.00,,,
,13,746,conf-746,270.4881,-2989.268773,,5.91,34.78,58.77,0.00,,0.00,0.00,0.00,,,
