(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,12,conf-12,297.5014,-2989.051779,254.51,14.45,4.94,8.34,0.00,1.54,0.00,0.07,0.05,427.89,277.82,8.39
,1,145,conf-145,347.8427,-2989.020301,,26.83,24.69,41.72,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,274.718,-2989.059648,,7.36,0.00,0.00,1.00,,0.65,274.72,178.37,,,
,3,172,conf-172,303.5618,-2989.027481,,16.16,20.18,34.11,0.00,,0.00,0.00,0.00,,,
,4,202,conf-202,332.75,-2988.99248,,23.51,42.15,71.22,0.00,,0.00,0.00,0.00,,,
,5,205,conf-205,283.697,-2989.055215,,10.29,2.78,4.70,0.01,,0.01,2.58,1.68,,,
,6,242,conf-242,283.5523,-2989.05905,,10.24,0.37,0.63,0.53,,0.34,150.52,97.73,,,
,7,333,conf-333,329.9589,-2989.015707,,22.87,27.57,46.59,0.00,,0.00,0.00,0.00,,,
,8,497,conf-497,293.721,-2989.040946,,13.35,11.74,19.83,0.00,,0.00,0.00,0.00,,,
,9,558,conf-558,305.4218,-2989.016078,,16.67,27.34,46.20,0.00,,0.00,0.00,0.00,,,
,10,578,conf-578,323.4761,-2989.001208,,21.32,36.67,61.96,0.00,,0.00,0.00,0.00,,,
,11,584,conf-584,341.9652,-2988.994919,,25.57,40.62,68.63,0.00,,0.00,0.00,0.00,,,
,12,702,conf-702,301.3519,-2989.011017,,15.54,30.52,51.56,0.00,,0.00,0.00,0.00,,,
,13,746,conf-746,298.7856,-2989.030669,,14.82,18.18,30.73,0.00,,0.00,0.00,0.00,,,
