(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,12,conf-12,266.4811,-2989.240728,254.51,4.49,0.00,0.00,1.00,1.01,0.99,266.48,263.79,269.13,266.42,4.47
,1,145,conf-145,328.2623,-2989.18047,,22.47,37.81,63.89,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,260.118,-2989.236403,,2.16,2.71,4.59,0.01,,0.01,2.65,2.62,,,
,3,172,conf-172,273.0597,-2989.218203,,6.79,14.14,23.88,0.00,,0.00,0.00,0.00,,,
,4,202,conf-202,283.7996,-2989.20851,,10.32,20.22,34.16,0.00,,0.00,0.00,0.00,,,
,5,205,conf-205,304.5874,-2989.16052,,16.44,50.33,85.04,0.00,,0.00,0.00,0.00,,,
,6,242,conf-242,266.5692,-2989.216325,,4.52,15.31,25.87,0.00,,0.00,0.00,0.00,,,
,7,333,conf-333,308.5479,-2989.158676,,17.51,51.49,87.00,0.00,,0.00,0.00,0.00,,,
,8,497,conf-497,282.9455,-2989.192386,,10.05,30.33,51.26,0.00,,0.00,0.00,0.00,,,
,9,558,conf-558,280.5797,-2989.223978,,9.29,10.51,17.76,0.00,,0.00,0.00,0.00,,,
,10,578,conf-578,287.0182,-2989.201079,,11.33,24.88,42.04,0.00,,0.00,0.00,0.00,,,
,11,584,conf-584,312.8816,-2989.159864,,18.66,50.74,85.74,0.00,,0.00,0.00,0.00,,,
,12,702,conf-702,282.9623,-2989.182194,,10.06,36.73,62.06,0.00,,0.00,0.00,0.00,,,
,13,746,conf-746,273.9326,-2989.191757,,7.09,30.73,51.92,0.00,,0.00,0.00,0.00,,,
