(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,7,351,conf-351,227.3711,-2156.983985,216.5,4.78,1.33,2.25,0.10,1.11,0.09,23.87,21.53,257.99,232.70,6.96
,2,90,conf-90,232.8122,-2156.971426,,7.01,9.21,15.57,0.00,,0.00,0.00,0.00,,,
,21,962,conf-962,233.2239,-2156.986111,,7.17,0.00,0.00,1.00,,0.90,233.22,210.36,,,
,6,242,conf-242,234.9805,-2156.960067,,7.86,16.34,27.61,0.00,,0.00,0.00,0.00,,,
,8,446,conf-446,235.4643,-2156.959051,,8.05,16.98,28.69,0.00,,0.00,0.00,0.00,,,
,11,510,conf-510,243.6103,-2156.980822,,11.13,3.32,5.61,0.00,,0.00,0.89,0.81,,,
,15,684,conf-684,244.3475,-2156.971986,,11.40,8.86,14.98,0.00,,0.00,0.00,0.00,,,
,10,497,conf-497,244.6548,-2156.947916,,11.51,23.97,40.50,0.00,,0.00,0.00,0.00,,,
,17,876,conf-876,246.479,-2156.961139,,12.16,15.67,26.48,0.00,,0.00,0.00,0.00,,,
,14,574,conf-574,249.1183,-2156.962291,,13.09,14.95,25.26,0.00,,0.00,0.00,0.00,,,
,12,538,conf-538,253.0076,-2156.955101,,14.43,19.46,32.88,0.00,,0.00,0.00,0.00,,,
,19,883,conf-883,254.6732,-2156.939468,,14.99,29.27,49.45,0.00,,0.00,0.00,0.00,,,
,4,217,conf-217,257.5561,-2156.957608,,15.94,17.89,30.22,0.00,,0.00,0.00,0.00,,,
,1,81,conf-81,264.939,-2156.947443,,18.28,24.26,41.00,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,265.2036,-2156.957206,,18.36,18.14,30.65,0.00,,0.00,0.00,0.00,,,
,3,211,conf-211,271.9477,-2156.950005,,20.39,22.66,38.28,0.00,,0.00,0.00,0.00,,,
,18,879,conf-879,276.1868,-2156.935819,,21.61,31.56,53.32,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,279.9219,-2156.920764,,22.66,41.01,69.29,0.00,,0.00,0.00,0.00,,,
,9,474,conf-474,288.6668,-2156.900829,,25.00,53.51,90.42,0.00,,0.00,0.00,0.00,,,
,16,796,conf-796,299.1685,-2156.934254,,27.63,32.54,54.98,0.00,,0.00,0.00,0.00,,,
,13,549,conf-549,317.5871,-2156.906798,,31.83,49.77,84.09,0.00,,0.00,0.00,0.00,,,
,20,961,conf-961,326.4508,-2156.915343,,33.68,44.41,75.03,0.00,,0.00,0.00,0.00,,,
