(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,258.9313,-2157.052221,216.5,16.39,32.81,55.44,0.00,1.00,0.00,0.00,0.00,222.62,222.58,2.73
,1,81,conf-81,259.3505,-2157.055898,,16.52,30.50,51.54,0.00,,0.00,0.00,0.00,,,
,2,90,conf-90,225.9565,-2157.082365,,4.19,13.90,23.48,0.00,,0.00,0.00,0.00,,,
,3,211,conf-211,222.5846,-2157.10451,,2.73,0.00,0.00,1.00,,1.00,222.58,222.55,,,
,4,217,conf-217,226.4636,-2157.089871,,4.40,9.19,15.52,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,220.2431,-2157.096347,,1.70,5.12,8.66,0.00,,0.00,0.04,0.04,,,
,6,242,conf-242,249.4258,-2157.057175,,13.20,29.70,50.19,0.00,,0.00,0.00,0.00,,,
,7,351,conf-351,232.2816,-2157.091582,,6.79,8.11,13.71,0.00,,0.00,0.00,0.00,,,
,8,446,conf-446,226.3458,-2157.089811,,4.35,9.22,15.59,0.00,,0.00,0.00,0.00,,,
,9,474,conf-474,226.3732,-2157.079454,,4.36,15.72,26.57,0.00,,0.00,0.00,0.00,,,
,10,497,conf-497,228.9209,-2157.086842,,5.43,11.09,18.73,0.00,,0.00,0.00,0.00,,,
,11,510,conf-510,238.9765,-2157.072022,,9.41,20.39,34.45,0.00,,0.00,0.00,0.00,,,
,12,538,conf-538,231.6558,-2157.071045,,6.54,21.00,35.48,0.00,,0.00,0.00,0.00,,,
,13,549,conf-549,231.687,-2157.075989,,6.55,17.90,30.24,0.00,,0.00,0.00,0.00,,,
,14,574,conf-574,249.684,-2157.032055,,13.29,45.47,76.82,0.00,,0.00,0.00,0.00,,,
,15,684,conf-684,264.2667,-2157.061994,,18.08,26.68,45.08,0.00,,0.00,0.00,0.00,,,
,16,796,conf-796,297.6437,-2157.020199,,27.26,52.91,89.39,0.00,,0.00,0.00,0.00,,,
,17,876,conf-876,244.8226,-2157.036525,,11.57,42.66,72.08,0.00,,0.00,0.00,0.00,,,
,18,879,conf-879,238.329,-2157.083333,,9.16,13.29,22.45,0.00,,0.00,0.00,0.00,,,
,19,883,conf-883,251.3148,-2157.044434,,13.85,37.70,63.70,0.00,,0.00,0.00,0.00,,,
,20,961,conf-961,323.1094,-2156.989464,,32.99,72.19,121.98,0.00,,0.00,0.00,0.00,,,
,21,962,conf-962,234.3216,-2157.067321,,7.61,23.34,39.43,0.00,,0.00,0.00,0.00,,,
