(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,304.3173,-2157.029664,216.5,28.86,81.84,138.29,0.00,1.00,0.00,0.00,0.00,222.04,222.02,2.48
,1,81,conf-81,258.3143,-2157.110879,,16.19,30.88,52.18,0.00,,0.00,0.00,0.00,,,
,2,90,conf-90,225.22,-2157.137652,,3.87,14.08,23.79,0.00,,0.00,0.00,0.00,,,
,3,211,conf-211,222.0159,-2157.160094,,2.48,0.00,0.00,1.00,,1.00,222.02,222.00,,,
,4,217,conf-217,230.3089,-2157.118707,,6.00,25.97,43.88,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,219.9222,-2157.151305,,1.56,5.51,9.32,0.00,,0.00,0.02,0.02,,,
,6,242,conf-242,237.6425,-2157.12468,,8.90,22.22,37.55,0.00,,0.00,0.00,0.00,,,
,7,351,conf-351,242.9922,-2157.114584,,10.90,28.56,48.25,0.00,,0.00,0.00,0.00,,,
,8,446,conf-446,225.9695,-2157.145912,,4.19,8.90,15.04,0.00,,0.00,0.00,0.00,,,
,9,474,conf-474,248.5558,-2157.098073,,12.90,38.92,65.76,0.00,,0.00,0.00,0.00,,,
,10,497,conf-497,229.7229,-2157.142825,,5.76,10.84,18.31,0.00,,0.00,0.00,0.00,,,
,11,510,conf-510,238.8087,-2157.127884,,9.34,20.21,34.15,0.00,,0.00,0.00,0.00,,,
,12,538,conf-538,232.2464,-2157.126659,,6.78,20.98,35.45,0.00,,0.00,0.00,0.00,,,
,13,549,conf-549,231.4005,-2157.131804,,6.44,17.75,30.00,0.00,,0.00,0.00,0.00,,,
,14,574,conf-574,235.5456,-2157.129657,,8.09,19.10,32.27,0.00,,0.00,0.00,0.00,,,
,15,684,conf-684,266.5822,-2157.08732,,18.79,45.67,77.16,0.00,,0.00,0.00,0.00,,,
,16,796,conf-796,297.1617,-2157.079207,,27.14,50.76,85.76,0.00,,0.00,0.00,0.00,,,
,17,876,conf-876,221.4829,-2157.144534,,2.25,9.76,16.50,0.00,,0.00,0.00,0.00,,,
,18,879,conf-879,241.1994,-2157.129983,,10.24,18.89,31.93,0.00,,0.00,0.00,0.00,,,
,19,883,conf-883,251.1203,-2157.101461,,13.79,36.79,62.17,0.00,,0.00,0.00,0.00,,,
,20,961,conf-961,275.8959,-2157.1053,,21.53,34.38,58.10,0.00,,0.00,0.00,0.00,,,
,21,962,conf-962,230.6031,-2157.135343,,6.12,15.53,26.24,0.00,,0.00,0.00,0.00,,,
