(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,26,771,conf-771,203.2878,-1740.945127,194.12,4.51,0.00,0.00,1.00,1.00,1.00,203.29,202.59,204.04,203.34,4.53
,23,607,conf-607,212.4092,-1740.928302,,8.61,10.56,17.84,0.00,,0.00,0.00,0.00,,,
,21,549,conf-549,213.3725,-1740.934447,,9.02,6.70,11.32,0.00,,0.00,0.00,0.00,,,
,7,137,conf-137,214.1567,-1740.930926,,9.36,8.91,15.06,0.00,,0.00,0.00,0.00,,,
,17,472,conf-472,216.9352,-1740.926454,,10.52,11.72,19.80,0.00,,0.00,0.00,0.00,,,
,13,304,conf-304,217.1456,-1740.922686,,10.60,14.08,23.79,0.00,,0.00,0.00,0.00,,,
,14,306,conf-306,218.3087,-1740.939779,,11.08,3.36,5.67,0.00,,0.00,0.75,0.75,,,
,19,510,conf-510,221.7641,-1740.924559,,12.47,12.91,21.81,0.00,,0.00,0.00,0.00,,,
,28,962,conf-962,230.6747,-1740.918864,,15.85,16.48,27.85,0.00,,0.00,0.00,0.00,,,
,10,222,conf-222,230.8817,-1740.917093,,15.92,17.59,29.72,0.00,,0.00,0.00,0.00,,,
,27,961,conf-961,231.7205,-1740.931319,,16.23,8.66,14.64,0.00,,0.00,0.00,0.00,,,
,25,684,conf-684,233.0511,-1740.920311,,16.70,15.57,26.31,0.00,,0.00,0.00,0.00,,,
,20,521,conf-521,238.6911,-1740.915088,,18.67,18.85,31.85,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,239.9971,-1740.903929,,19.12,25.85,43.68,0.00,,0.00,0.00,0.00,,,
,5,102,conf-102,241.8177,-1740.895817,,19.72,30.94,52.28,0.00,,0.00,0.00,0.00,,,
,1,60,conf-60,246.7038,-1740.915039,,21.31,18.88,31.90,0.00,,0.00,0.00,0.00,,,
,15,315,conf-315,248.0387,-1740.901128,,21.74,27.61,46.65,0.00,,0.00,0.00,0.00,,,
,22,578,conf-578,249.8823,-1740.913951,,22.32,19.56,33.06,0.00,,0.00,0.00,0.00,,,
,16,394,conf-394,254.6195,-1740.9019,,23.76,27.13,45.83,0.00,,0.00,0.00,0.00,,,
,18,474,conf-474,256.5283,-1740.88846,,24.33,35.56,60.08,0.00,,0.00,0.00,0.00,,,
,6,123,conf-123,260.4275,-1740.888739,,25.46,35.38,59.79,0.00,,0.00,0.00,0.00,,,
,11,231,conf-231,261.5729,-1740.885857,,25.79,37.19,62.84,0.00,,0.00,0.00,0.00,,,
,24,617,conf-617,265.3686,-1740.877231,,26.85,42.60,71.99,0.00,,0.00,0.00,0.00,,,
,3,84,conf-84,266.5588,-1740.905577,,27.18,24.82,41.93,0.00,,0.00,0.00,0.00,,,
,9,197,conf-197,268.8464,-1740.887312,,27.80,36.28,61.30,0.00,,0.00,0.00,0.00,,,
,8,156,conf-156,276.4158,-1740.89102,,29.77,33.95,57.37,0.00,,0.00,0.00,0.00,,,
,2,64,conf-64,279.1801,-1740.88192,,30.47,39.66,67.02,0.00,,0.00,0.00,0.00,,,
,4,90,conf-90,282.6922,-1740.892746,,31.33,32.87,55.54,0.00,,0.00,0.00,0.00,,,
,12,302,conf-302,284.91,-1740.886781,,31.87,36.61,61.86,0.00,,0.00,0.00,0.00,,,
