(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,236.147,-1740.979784,194.12,17.80,39.37,66.52,0.00,1.00,0.00,0.00,0.00,201.43,201.43,3.63
,1,60,conf-60,231.345,-1740.993851,,16.09,30.54,51.61,0.00,,0.00,0.00,0.00,,,
,2,64,conf-64,278.2869,-1740.940419,,30.24,64.07,108.26,0.00,,0.00,0.00,0.00,,,
,3,84,conf-84,265.7309,-1740.966965,,26.95,47.41,80.11,0.00,,0.00,0.00,0.00,,,
,4,90,conf-90,282.1952,-1740.947747,,31.21,59.47,100.49,0.00,,0.00,0.00,0.00,,,
,5,102,conf-102,209.4412,-1741.004474,,7.32,23.88,40.34,0.00,,0.00,0.00,0.00,,,
,6,123,conf-123,253.8572,-1740.955339,,23.53,54.71,92.44,0.00,,0.00,0.00,0.00,,,
,7,137,conf-137,211.7267,-1741.016971,,8.32,16.03,27.09,0.00,,0.00,0.00,0.00,,,
,8,156,conf-156,272.2959,-1740.952998,,28.71,56.18,94.92,0.00,,0.00,0.00,0.00,,,
,9,197,conf-197,266.94,-1740.948507,,27.28,58.99,99.68,0.00,,0.00,0.00,0.00,,,
,10,222,conf-222,263.3758,-1740.944541,,26.30,61.48,103.89,0.00,,0.00,0.00,0.00,,,
,11,231,conf-231,253.8711,-1740.954023,,23.54,55.53,93.83,0.00,,0.00,0.00,0.00,,,
,12,302,conf-302,201.4295,-1741.042522,,3.63,0.00,0.00,1.00,,1.00,201.43,201.43,,,
,13,304,conf-304,207.9898,-1741.015631,,6.67,16.87,28.51,0.00,,0.00,0.00,0.00,,,
,14,306,conf-306,221.9351,-1741.008206,,12.53,21.53,36.38,0.00,,0.00,0.00,0.00,,,
,15,315,conf-315,267.238,-1740.928655,,27.36,71.45,120.73,0.00,,0.00,0.00,0.00,,,
,16,394,conf-394,252.5025,-1740.968785,,23.12,46.27,78.18,0.00,,0.00,0.00,0.00,,,
,17,472,conf-472,223.5261,-1740.976611,,13.16,41.36,69.88,0.00,,0.00,0.00,0.00,,,
,18,474,conf-474,209.6355,-1741.000116,,7.40,26.61,44.96,0.00,,0.00,0.00,0.00,,,
,19,510,conf-510,219.8089,-1741.008138,,11.69,21.58,36.46,0.00,,0.00,0.00,0.00,,,
,20,521,conf-521,231.72,-1740.988346,,16.23,34.00,57.44,0.00,,0.00,0.00,0.00,,,
,21,549,conf-549,211.5452,-1741.00773,,8.24,21.83,36.89,0.00,,0.00,0.00,0.00,,,
,22,578,conf-578,239.3109,-1740.988796,,18.88,33.71,56.96,0.00,,0.00,0.00,0.00,,,
,23,607,conf-607,202.6211,-1741.032239,,4.20,6.45,10.90,0.00,,0.00,0.00,0.00,,,
,24,617,conf-617,244.8683,-1740.969971,,20.72,45.53,76.92,0.00,,0.00,0.00,0.00,,,
,25,684,conf-684,225.4378,-1740.987877,,13.89,34.29,57.94,0.00,,0.00,0.00,0.00,,,
,26,771,conf-771,199.6248,-1741.040098,,2.76,1.52,2.57,0.08,,0.08,15.27,15.27,,,
,27,961,conf-961,228.8601,-1741.013954,,15.18,17.93,30.29,0.00,,0.00,0.00,0.00,,,
,28,962,conf-962,202.9265,-1741.02591,,4.34,10.42,17.61,0.00,,0.00,0.00,0.00,,,
