(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,26,771,conf-771,197.5555,-1741.086326,194.12,1.74,0.00,0.00,1.00,1.00,1.00,197.56,197.53,197.59,197.56,1.74
,24,617,conf-617,197.926,-1741.057741,,1.92,17.94,30.31,0.00,,0.00,0.00,0.00,,,
,8,156,conf-156,203.2394,-1741.077993,,4.49,5.23,8.84,0.00,,0.00,0.03,0.03,,,
,28,962,conf-962,203.6035,-1741.070298,,4.66,10.06,16.99,0.00,,0.00,0.00,0.00,,,
,23,607,conf-607,207.6369,-1741.059494,,6.51,16.84,28.45,0.00,,0.00,0.00,0.00,,,
,13,304,conf-304,208.293,-1741.061391,,6.80,15.65,26.44,0.00,,0.00,0.00,0.00,,,
,21,549,conf-549,209.0957,-1741.053423,,7.16,20.65,34.89,0.00,,0.00,0.00,0.00,,,
,18,474,conf-474,210.0598,-1741.045751,,7.59,25.46,43.02,0.00,,0.00,0.00,0.00,,,
,14,306,conf-306,210.7797,-1741.06409,,7.90,13.95,23.58,0.00,,0.00,0.00,0.00,,,
,7,137,conf-137,211.6664,-1741.062587,,8.29,14.90,25.17,0.00,,0.00,0.00,0.00,,,
,17,472,conf-472,212.5998,-1741.038437,,8.69,30.05,50.78,0.00,,0.00,0.00,0.00,,,
,5,102,conf-102,215.0565,-1741.047035,,9.74,24.65,41.66,0.00,,0.00,0.00,0.00,,,
,19,510,conf-510,219.3194,-1741.054084,,11.49,20.23,34.19,0.00,,0.00,0.00,0.00,,,
,25,684,conf-684,225.0905,-1741.032934,,13.76,33.50,56.61,0.00,,0.00,0.00,0.00,,,
,10,222,conf-222,225.6575,-1741.038689,,13.98,29.89,50.51,0.00,,0.00,0.00,0.00,,,
,27,961,conf-961,229.0807,-1741.052312,,15.26,21.34,36.06,0.00,,0.00,0.00,0.00,,,
,20,521,conf-521,231.3878,-1741.035213,,16.11,32.07,54.19,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,236.1039,-1741.026129,,17.78,37.77,63.83,0.00,,0.00,0.00,0.00,,,
,15,315,conf-315,240.8092,-1741.026297,,19.39,37.67,63.65,0.00,,0.00,0.00,0.00,,,
,22,578,conf-578,242.2591,-1741.027221,,19.87,37.09,62.67,0.00,,0.00,0.00,0.00,,,
,1,60,conf-60,244.5641,-1741.035084,,20.63,32.15,54.33,0.00,,0.00,0.00,0.00,,,
,12,302,conf-302,246.6228,-1741.018546,,21.29,42.53,71.87,0.00,,0.00,0.00,0.00,,,
,11,231,conf-231,252.1722,-1740.995779,,23.02,56.82,96.00,0.00,,0.00,0.00,0.00,,,
,16,394,conf-394,252.6182,-1741.015801,,23.16,44.25,74.78,0.00,,0.00,0.00,0.00,,,
,6,123,conf-123,254.2853,-1741.002063,,23.66,52.88,89.34,0.00,,0.00,0.00,0.00,,,
,3,84,conf-84,265.6203,-1741.014575,,26.92,45.02,76.08,0.00,,0.00,0.00,0.00,,,
,9,197,conf-197,266.8266,-1740.995319,,27.25,57.11,96.49,0.00,,0.00,0.00,0.00,,,
,4,90,conf-90,274.6641,-1741.00401,,29.32,51.65,87.28,0.00,,0.00,0.00,0.00,,,
,2,64,conf-64,278.2144,-1740.988121,,30.23,61.62,104.12,0.00,,0.00,0.00,0.00,,,
