(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,197.8363,-1324.889515,171.04,13.54,10.07,17.01,0.00,1.19,0.00,0.00,0.00,211.05,176.67,3.19
,1,35,conf-35,176.8875,-1324.904014,,3.31,0.97,1.64,0.19,,0.16,34.40,28.80,,,
,2,95,conf-95,220.6322,-1324.866713,,22.48,24.38,41.19,0.00,,0.00,0.00,0.00,,,
,3,112,conf-112,207.1229,-1324.865303,,17.42,25.26,42.68,0.00,,0.00,0.00,0.00,,,
,4,197,conf-197,232.0557,-1324.865298,,26.29,25.26,42.69,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,228.654,-1324.870524,,25.20,21.98,37.15,0.00,,0.00,0.00,0.00,,,
,6,428,conf-428,209.316,-1324.881781,,18.29,14.92,25.21,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,211.2882,-1324.87629,,19.05,18.37,31.03,0.00,,0.00,0.00,0.00,,,
,8,538,conf-538,209.5591,-1324.86232,,18.38,27.13,45.84,0.00,,0.00,0.00,0.00,,,
,9,549,conf-549,227.3108,-1324.858781,,24.76,29.35,49.60,0.00,,0.00,0.00,0.00,,,
,10,584,conf-584,184.8193,-1324.896709,,7.46,5.55,9.38,0.00,,0.00,0.02,0.01,,,
,11,607,conf-607,229.094,-1324.860721,,25.34,28.14,47.54,0.00,,0.00,0.00,0.00,,,
,12,669,conf-669,202.8765,-1324.85392,,15.69,32.40,54.75,0.00,,0.00,0.00,0.00,,,
,13,684,conf-684,176.631,-1324.905558,,3.17,0.00,0.00,1.00,,0.84,176.63,147.86,,,
,14,705,conf-705,224.2963,-1324.854603,,23.74,31.97,54.03,0.00,,0.00,0.00,0.00,,,
,15,727,conf-727,230.5237,-1324.849843,,25.80,34.96,59.07,0.00,,0.00,0.00,0.00,,,
,16,797,conf-797,186.5835,-1324.883072,,8.33,14.11,23.84,0.00,,0.00,0.00,0.00,,,
,17,824,conf-824,188.3517,-1324.895378,,9.19,6.39,10.79,0.00,,0.00,0.00,0.00,,,
,18,879,conf-879,178.5015,-1324.904999,,4.18,0.35,0.59,0.55,,0.46,98.59,82.53,,,
,19,883,conf-883,196.5392,-1324.874711,,12.97,19.36,32.71,0.00,,0.00,0.00,0.00,,,
,20,961,conf-961,178.6886,-1324.900421,,4.28,3.22,5.45,0.00,,0.00,0.77,0.64,,,
