(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,8,538,conf-538,172.481,-1324.968856,171.04,0.84,3.86,6.51,0.00,1.01,0.00,0.26,0.25,175.39,174.29,1.87
,13,684,conf-684,172.6124,-1324.96988,,0.91,3.21,5.43,0.00,,0.00,0.76,0.75,,,
,17,824,conf-824,174.3004,-1324.975,,1.87,0.00,0.00,1.00,,0.99,174.30,173.21,,,
,10,584,conf-584,176.4489,-1324.966007,,3.07,5.64,9.54,0.00,,0.00,0.01,0.01,,,
,20,961,conf-961,177.7488,-1324.964832,,3.77,6.38,10.78,0.00,,0.00,0.00,0.00,,,
,18,879,conf-879,178.8221,-1324.961174,,4.35,8.68,14.66,0.00,,0.00,0.00,0.00,,,
,3,112,conf-112,180.1322,-1324.952048,,5.05,14.40,24.34,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,183.9586,-1324.967501,,7.02,4.71,7.95,0.00,,0.00,0.06,0.06,,,
,16,797,conf-797,184.6592,-1324.944992,,7.38,18.83,31.82,0.00,,0.00,0.00,0.00,,,
,19,883,conf-883,189.6381,-1324.933359,,9.81,26.13,44.15,0.00,,0.00,0.00,0.00,,,
,14,705,conf-705,194.5431,-1324.943529,,12.08,19.75,33.37,0.00,,0.00,0.00,0.00,,,
,6,428,conf-428,196.8032,-1324.949513,,13.09,15.99,27.02,0.00,,0.00,0.00,0.00,,,
,12,669,conf-669,202.2889,-1324.908383,,15.45,41.80,70.63,0.00,,0.00,0.00,0.00,,,
,15,727,conf-727,206.9008,-1324.906749,,17.33,42.83,72.36,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,210.6499,-1324.925052,,18.80,31.34,52.96,0.00,,0.00,0.00,0.00,,,
,1,35,conf-35,216.9679,-1324.894375,,21.17,50.59,85.48,0.00,,0.00,0.00,0.00,,,
,2,95,conf-95,219.2222,-1324.911686,,21.98,39.73,67.13,0.00,,0.00,0.00,0.00,,,
,9,549,conf-549,226.6341,-1324.90155,,24.53,46.09,77.88,0.00,,0.00,0.00,0.00,,,
,11,607,conf-607,228.3179,-1324.902592,,25.09,45.44,76.77,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,228.8767,-1324.909939,,25.27,40.83,68.98,0.00,,0.00,0.00,0.00,,,
,4,197,conf-197,231.0774,-1324.905241,,25.98,43.77,73.96,0.00,,0.00,0.00,0.00,,,
