(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,183.3458,-1325.002092,171.04,6.71,6.37,10.76,0.00,1.00,0.00,0.00,0.00,170.04,170.03,0.59
,1,35,conf-35,171.8724,-1324.988466,,0.48,14.92,25.21,0.00,,0.00,0.00,0.00,,,
,2,95,conf-95,219.3183,-1324.947659,,22.01,40.52,68.47,0.00,,0.00,0.00,0.00,,,
,3,112,conf-112,180.1003,-1324.986272,,5.03,16.29,27.53,0.00,,0.00,0.00,0.00,,,
,4,197,conf-197,230.7508,-1324.941728,,25.88,44.25,74.76,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,228.229,-1324.946511,,25.06,41.24,69.69,0.00,,0.00,0.00,0.00,,,
,6,428,conf-428,195.9261,-1324.984867,,12.70,17.18,29.02,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,209.7198,-1324.960545,,18.44,32.44,54.81,0.00,,0.00,0.00,0.00,,,
,8,538,conf-538,172.0139,-1325.002602,,0.57,6.05,10.22,0.00,,0.00,0.01,0.01,,,
,9,549,conf-549,226.5571,-1324.937514,,24.50,46.89,79.23,0.00,,0.00,0.00,0.00,,,
,10,584,conf-584,177.6458,-1324.99848,,3.72,8.63,14.59,0.00,,0.00,0.00,0.00,,,
,11,607,conf-607,228.1101,-1324.938753,,25.02,46.11,77.92,0.00,,0.00,0.00,0.00,,,
,12,669,conf-669,199.1099,-1324.942904,,14.10,43.51,73.51,0.00,,0.00,0.00,0.00,,,
,13,684,conf-684,170.0341,-1325.012239,,0.59,0.00,0.00,1.00,,1.00,170.03,170.02,,,
,14,705,conf-705,194.3964,-1324.97878,,12.01,21.00,35.48,0.00,,0.00,0.00,0.00,,,
,15,727,conf-727,206.555,-1324.942496,,17.19,43.76,73.95,0.00,,0.00,0.00,0.00,,,
,16,797,conf-797,184.4666,-1324.979304,,7.28,20.67,34.92,0.00,,0.00,0.00,0.00,,,
,17,824,conf-824,173.6031,-1324.997957,,1.48,8.96,15.14,0.00,,0.00,0.00,0.00,,,
,18,879,conf-879,179.165,-1324.995084,,4.53,10.77,18.19,0.00,,0.00,0.00,0.00,,,
,19,883,conf-883,189.5944,-1324.967746,,9.79,27.92,47.17,0.00,,0.00,0.00,0.00,,,
,20,961,conf-961,177.5861,-1324.998476,,3.69,8.64,14.59,0.00,,0.00,0.00,0.00,,,
