,order,file,ave_TM_CS,HF_energy
0,34,conf-34,215.1521,-1396.7005989
1,121,conf-121,222.1791,-1396.7115028
2,126,conf-126,220.2693,-1396.7090241
3,156,conf-156,232.766,-1396.7022261
4,197,conf-197,240.0396,-1396.6969996
5,203,conf-203,238.9773,-1396.6945525
6,217,conf-217,216.9911,-1396.7103524
7,252,conf-252,231.4845,-1396.6973446
8,306,conf-306,234.2013,-1396.6910483
9,418,conf-418,228.3781,-1396.6906585
10,428,conf-428,206.3781,-1396.7182442
11,448,conf-448,228.1339,-1396.707897
12,472,conf-472,221.073,-1396.6998781
13,474,conf-474,211.5914,-1396.7183939
14,503,conf-503,229.0046,-1396.6901692
15,538,conf-538,222.064,-1396.7011787
16,549,conf-549,229.1489,-1396.7037422
17,727,conf-727,231.0069,-1396.6906845
18,746,conf-746,230.9743,-1396.7017714
19,772,conf-772,231.2045,-1396.6870102
20,879,conf-879,232.9574,-1396.7046602
21,883,conf-883,205.3167,-1396.7585141
