(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,21,883,conf-883,205.3167,-1396.758514,205.3,0.01,0.00,0.00,1.00,1.00,1.00,205.32,205.32,205.32,205.32,0.01
,10,428,conf-428,206.3781,-1396.718244,,0.52,25.27,42.70,0.00,,0.00,0.00,0.00,,,
,13,474,conf-474,211.5914,-1396.718394,,2.97,25.18,42.54,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,215.1521,-1396.700599,,4.58,36.34,61.41,0.00,,0.00,0.00,0.00,,,
,6,217,conf-217,216.9911,-1396.710352,,5.39,30.22,51.06,0.00,,0.00,0.00,0.00,,,
,2,126,conf-126,220.2693,-1396.709024,,6.80,31.05,52.47,0.00,,0.00,0.00,0.00,,,
,12,472,conf-472,221.073,-1396.699878,,7.13,36.79,62.17,0.00,,0.00,0.00,0.00,,,
,15,538,conf-538,222.064,-1396.701179,,7.55,35.98,60.79,0.00,,0.00,0.00,0.00,,,
,1,121,conf-121,222.1791,-1396.711503,,7.60,29.50,49.84,0.00,,0.00,0.00,0.00,,,
,11,448,conf-448,228.1339,-1396.707897,,10.01,31.76,53.67,0.00,,0.00,0.00,0.00,,,
,9,418,conf-418,228.3781,-1396.690659,,10.11,42.58,71.95,0.00,,0.00,0.00,0.00,,,
,14,503,conf-503,229.0046,-1396.690169,,10.35,42.89,72.46,0.00,,0.00,0.00,0.00,,,
,16,549,conf-549,229.1489,-1396.703742,,10.41,34.37,58.07,0.00,,0.00,0.00,0.00,,,
,18,746,conf-746,230.9743,-1396.701771,,11.12,35.61,60.16,0.00,,0.00,0.00,0.00,,,
,17,727,conf-727,231.0069,-1396.690685,,11.13,42.56,71.92,0.00,,0.00,0.00,0.00,,,
,19,772,conf-772,231.2045,-1396.68701,,11.20,44.87,75.81,0.00,,0.00,0.00,0.00,,,
,7,252,conf-252,231.4845,-1396.697345,,11.31,38.38,64.86,0.00,,0.00,0.00,0.00,,,
,3,156,conf-156,232.766,-1396.702226,,11.80,35.32,59.68,0.00,,0.00,0.00,0.00,,,
,20,879,conf-879,232.9574,-1396.70466,,11.87,33.79,57.10,0.00,,0.00,0.00,0.00,,,
,8,306,conf-306,234.2013,-1396.691048,,12.34,42.33,71.53,0.00,,0.00,0.00,0.00,,,
,5,203,conf-203,238.9773,-1396.694553,,14.09,40.14,67.82,0.00,,0.00,0.00,0.00,,,
,4,197,conf-197,240.0396,-1396.697,,14.47,38.60,65.22,0.00,,0.00,0.00,0.00,,,
