(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,213.2369,-1396.760091,205.3,3.72,6.48,10.96,0.00,1.04,0.00,0.00,0.00,219.43,210.69,2.56
,1,81,conf-81,211.7366,-1396.759975,,3.04,6.56,11.08,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,209.1488,-1396.744567,,1.84,16.23,27.42,0.00,,0.00,0.00,0.00,,,
,3,123,conf-123,215.0303,-1396.761015,,4.53,5.90,9.98,0.00,,0.00,0.01,0.01,,,
,4,234,conf-234,207.407,-1396.740361,,1.02,18.86,31.88,0.00,,0.00,0.00,0.00,,,
,5,302,conf-302,216.4623,-1396.746406,,5.16,15.07,25.47,0.00,,0.00,0.00,0.00,,,
,6,370,conf-370,247.5496,-1396.699193,,17.07,44.70,75.52,0.00,,0.00,0.00,0.00,,,
,7,448,conf-448,210.9208,-1396.767421,,2.66,1.88,3.18,0.04,,0.04,8.74,8.39,,,
,8,472,conf-472,246.2819,-1396.700683,,16.64,43.76,73.95,0.00,,0.00,0.00,0.00,,,
,9,584,conf-584,204.5518,-1396.759739,,0.37,6.70,11.33,0.00,,0.00,0.00,0.00,,,
,10,605,conf-605,224.1756,-1396.714372,,8.42,35.17,59.43,0.00,,0.00,0.00,0.00,,,
,11,684,conf-684,221.0292,-1396.710539,,7.12,37.58,63.50,0.00,,0.00,0.00,0.00,,,
,12,731,conf-731,215.4207,-1396.749431,,4.70,13.17,22.26,0.00,,0.00,0.00,0.00,,,
,13,746,conf-746,230.4423,-1396.707522,,10.91,39.47,66.69,0.00,,0.00,0.00,0.00,,,
,14,876,conf-876,210.677,-1396.770424,,2.55,0.00,0.00,1.00,,0.96,210.68,202.28,,,
,15,879,conf-879,246.0578,-1396.695769,,16.56,46.85,79.16,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,210.438,-1396.766736,,2.44,2.31,3.91,0.02,,0.02,4.22,4.05,,,
,17,950,conf-950,213.5652,-1396.766807,,3.87,2.27,3.84,0.02,,0.02,4.61,4.43,,,
,18,962,conf-962,220.9564,-1396.731445,,7.09,24.46,41.33,0.00,,0.00,0.00,0.00,,,
,19,983,conf-983,211.7942,-1396.747161,,3.07,14.60,24.67,0.00,,0.00,0.00,0.00,,,
