(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,2,34,conf-34,222.0225,-1396.761314,205.3,7.53,10.36,17.50,0.00,1.00,0.00,0.00,0.00,220.47,220.47,6.88
,3,123,conf-123,231.658,-1396.74219,,11.38,22.36,37.78,0.00,,0.00,0.00,0.00,,,
,4,288,conf-288,218.6421,-1396.736018,,6.10,26.23,44.32,0.00,,0.00,0.00,0.00,,,
,5,304,conf-304,217.1501,-1396.689381,,5.46,55.50,93.77,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,229.3313,-1396.737124,,10.48,25.54,43.15,0.00,,0.00,0.00,0.00,,,
,7,538,conf-538,210.4091,-1396.759908,,2.43,11.24,18.99,0.00,,0.00,0.00,0.00,,,
,8,549,conf-549,220.3055,-1396.745324,,6.81,20.39,34.46,0.00,,0.00,0.00,0.00,,,
,9,578,conf-578,219.0929,-1396.741749,,6.30,22.64,38.25,0.00,,0.00,0.00,0.00,,,
,10,669,conf-669,209.2715,-1396.75656,,1.90,13.34,22.54,0.00,,0.00,0.00,0.00,,,
,11,684,conf-684,220.1675,-1396.689014,,6.75,55.73,94.16,0.00,,0.00,0.00,0.00,,,
,12,727,conf-727,207.1365,-1396.765464,,0.89,7.75,13.10,0.00,,0.00,0.00,0.00,,,
,13,796,conf-796,221.854,-1396.744084,,7.46,21.17,35.77,0.00,,0.00,0.00,0.00,,,
,14,876,conf-876,210.0428,-1396.765142,,2.26,7.96,13.44,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,217.2086,-1396.760452,,5.48,10.90,18.42,0.00,,0.00,0.00,0.00,,,
,16,950,conf-950,204.108,-1396.740721,,0.58,23.28,39.34,0.00,,0.00,0.00,0.00,,,
,17,962,conf-962,220.467,-1396.777822,,6.88,0.00,0.00,1.00,,1.00,220.47,220.47,,,
,18,981,conf-981,215.9402,-1396.743511,,4.93,21.53,36.38,0.00,,0.00,0.00,0.00,,,
