(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,21,883,conf-883,207.9708,-1396.678475,205.3,1.28,0,0,1,1,1,207.97,207.97,207.97,207.97,1.28
,10,428,conf-428,226.5175,-1396.639115,,9.37,24.7,41.73,0,,0,0,0,,,
,2,126,conf-126,227.5432,-1396.642297,,9.78,22.7,38.36,0,,0,0,0,,,
,1,121,conf-121,227.9706,-1396.645624,,9.94,20.61,34.83,0,,0,0,0,,,
,11,448,conf-448,232.5763,-1396.640524,,11.73,23.81,40.24,0,,0,0,0,,,
,6,217,conf-217,233.0459,-1396.638576,,11.91,25.04,42.3,0,,0,0,0,,,
,0,34,conf-34,233.937,-1396.635358,,12.24,27.06,45.72,0,,0,0,0,,,
,18,746,conf-746,236.3471,-1396.636094,,13.14,26.59,44.93,0,,0,0,0,,,
,17,727,conf-727,236.6574,-1396.639301,,13.25,24.58,41.53,0,,0,0,0,,,
,16,549,conf-549,236.6779,-1396.639625,,13.26,24.38,41.19,0,,0,0,0,,,
,19,772,conf-772,236.7816,-1396.639739,,13.3,24.31,41.07,0,,0,0,0,,,
,3,156,conf-156,237.1456,-1396.637486,,13.43,25.72,43.46,0,,0,0,0,,,
,12,472,conf-472,237.3828,-1396.6346,,13.52,27.53,46.52,0,,0,0,0,,,
,7,252,conf-252,237.4501,-1396.632202,,13.54,29.04,49.06,0,,0,0,0,,,
,14,503,conf-503,238.1161,-1396.638507,,13.78,25.08,42.38,0,,0,0,0,,,
,15,538,conf-538,238.202,-1396.62765,,13.81,31.89,53.89,0,,0,0,0,,,
,20,879,conf-879,239.4047,-1396.638128,,14.25,25.32,42.78,0,,0,0,0,,,
,13,474,conf-474,240.6101,-1396.639562,,14.68,24.42,41.26,0,,0,0,0,,,
,8,306,conf-306,242.8448,-1396.631401,,15.46,29.54,49.91,0,,0,0,0,,,
,5,203,conf-203,243.2621,-1396.630442,,15.61,30.14,50.93,0,,0,0,0,,,
,4,197,conf-197,244.9491,-1396.635477,,16.19,26.98,45.59,0,,0,0,0,,,
,9,418,conf-418,245.1286,-1396.628473,,16.25,31.38,53.02,0,,0,0,0,,,
