(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,21,883,conf-883,206.3204,-1396.768212,205.3,0.49,0.00,0.00,1.00,1.00,1.00,206.32,206.32,206.32,206.32,0.49
,10,428,conf-428,213.6657,-1396.721875,,3.92,29.08,49.13,0.00,,0.00,0.00,0.00,,,
,14,503,conf-503,216.7782,-1396.708404,,5.29,37.53,63.41,0.00,,0.00,0.00,0.00,,,
,1,121,conf-121,220.9733,-1396.725219,,7.09,26.98,45.58,0.00,,0.00,0.00,0.00,,,
,3,156,conf-156,223.4316,-1396.719806,,8.12,30.38,51.32,0.00,,0.00,0.00,0.00,,,
,6,217,conf-217,223.9344,-1396.71843,,8.32,31.24,52.78,0.00,,0.00,0.00,0.00,,,
,2,126,conf-126,225.1886,-1396.720011,,8.83,30.25,51.11,0.00,,0.00,0.00,0.00,,,
,19,772,conf-772,225.2451,-1396.711725,,8.85,35.45,59.89,0.00,,0.00,0.00,0.00,,,
,12,472,conf-472,226.9197,-1396.711794,,9.53,35.40,59.82,0.00,,0.00,0.00,0.00,,,
,7,252,conf-252,227.9095,-1396.710628,,9.92,36.13,61.05,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,228.7731,-1396.715382,,10.26,33.15,56.02,0.00,,0.00,0.00,0.00,,,
,15,538,conf-538,229.1729,-1396.708929,,10.42,37.20,62.86,0.00,,0.00,0.00,0.00,,,
,13,474,conf-474,229.5007,-1396.713772,,10.54,34.16,57.72,0.00,,0.00,0.00,0.00,,,
,9,418,conf-418,230.831,-1396.701769,,11.06,41.69,70.45,0.00,,0.00,0.00,0.00,,,
,11,448,conf-448,231.1122,-1396.720903,,11.17,29.69,50.16,0.00,,0.00,0.00,0.00,,,
,16,549,conf-549,234.906,-1396.71535,,12.60,33.17,56.05,0.00,,0.00,0.00,0.00,,,
,18,746,conf-746,235.3071,-1396.71374,,12.75,34.18,57.76,0.00,,0.00,0.00,0.00,,,
,17,727,conf-727,236.4077,-1396.715946,,13.16,32.80,55.42,0.00,,0.00,0.00,0.00,,,
,20,879,conf-879,238.006,-1396.714886,,13.74,33.46,56.54,0.00,,0.00,0.00,0.00,,,
,8,306,conf-306,240.5362,-1396.705954,,14.65,39.07,66.01,0.00,,0.00,0.00,0.00,,,
,5,203,conf-203,242.1147,-1396.705247,,15.21,39.51,66.76,0.00,,0.00,0.00,0.00,,,
,4,197,conf-197,243.5217,-1396.709297,,15.70,36.97,62.47,0.00,,0.00,0.00,0.00,,,
