(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,21,883,conf-883,206.185,-1396.815358,205.3,0.43,0.00,0.00,1.00,1.00,1.00,206.19,206.19,206.19,206.19,0.43
,10,428,conf-428,213.5647,-1396.769687,,3.87,28.66,48.42,0.00,,0.00,0.00,0.00,,,
,14,503,conf-503,216.703,-1396.7552,,5.26,37.75,63.78,0.00,,0.00,0.00,0.00,,,
,1,121,conf-121,219.3845,-1396.769476,,6.42,28.79,48.65,0.00,,0.00,0.00,0.00,,,
,6,217,conf-217,223.3119,-1396.76737,,8.07,30.11,50.88,0.00,,0.00,0.00,0.00,,,
,3,156,conf-156,223.5133,-1396.768141,,8.15,29.63,50.06,0.00,,0.00,0.00,0.00,,,
,2,126,conf-126,224.8323,-1396.768313,,8.69,29.52,49.88,0.00,,0.00,0.00,0.00,,,
,19,772,conf-772,225.6294,-1396.759993,,9.01,34.74,58.70,0.00,,0.00,0.00,0.00,,,
,17,727,conf-727,226.2682,-1396.757198,,9.27,36.50,61.67,0.00,,0.00,0.00,0.00,,,
,12,472,conf-472,226.7001,-1396.760635,,9.44,34.34,58.02,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,228.2532,-1396.763591,,10.06,32.48,54.89,0.00,,0.00,0.00,0.00,,,
,15,538,conf-538,228.9916,-1396.756727,,10.35,36.79,62.16,0.00,,0.00,0.00,0.00,,,
,7,252,conf-252,229.2982,-1396.75875,,10.47,35.52,60.02,0.00,,0.00,0.00,0.00,,,
,11,448,conf-448,231.0062,-1396.768893,,11.13,29.16,49.27,0.00,,0.00,0.00,0.00,,,
,13,474,conf-474,232.129,-1396.763584,,11.56,32.49,54.89,0.00,,0.00,0.00,0.00,,,
,8,306,conf-306,232.687,-1396.7626,,11.77,33.11,55.94,0.00,,0.00,0.00,0.00,,,
,5,203,conf-203,233.8593,-1396.755078,,12.21,37.83,63.91,0.00,,0.00,0.00,0.00,,,
,16,549,conf-549,234.159,-1396.764519,,12.32,31.90,53.90,0.00,,0.00,0.00,0.00,,,
,9,418,conf-418,234.3764,-1396.753488,,12.41,38.82,65.60,0.00,,0.00,0.00,0.00,,,
,18,746,conf-746,235.0245,-1396.762637,,12.65,33.08,55.90,0.00,,0.00,0.00,0.00,,,
,20,879,conf-879,237.7413,-1396.763752,,13.65,32.38,54.72,0.00,,0.00,0.00,0.00,,,
,4,197,conf-197,242.8329,-1396.758028,,15.46,35.97,60.79,0.00,,0.00,0.00,0.00,,,
