(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,12,conf-12,380.7109,-2933.55748,317.18,16.69,25.62,43.30,0.00,1.00,0.00,0.00,0.00,388.06,388.03,18.26
,1,110,conf-110,398.8976,-2933.559458,,20.49,24.38,41.20,0.00,,0.00,0.00,0.00,,,
,2,126,conf-126,397.5634,-2933.559522,,20.22,24.34,41.13,0.00,,0.00,0.00,0.00,,,
,3,217,conf-217,400.9478,-2933.553065,,20.89,28.39,47.98,0.00,,0.00,0.00,0.00,,,
,4,234,conf-234,401.232,-2933.567554,,20.95,19.30,32.62,0.00,,0.00,0.00,0.00,,,
,5,399,conf-399,395.1343,-2933.554945,,19.73,27.21,45.98,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,408.6826,-2933.575645,,22.39,14.23,24.04,0.00,,0.00,0.00,0.00,,,
,7,535,conf-535,403.8487,-2933.535522,,21.46,39.40,66.58,0.00,,0.00,0.00,0.00,,,
,8,549,conf-549,396.9431,-2933.538123,,20.09,37.77,63.82,0.00,,0.00,0.00,0.00,,,
,9,586,conf-586,406.7987,-2933.537697,,22.03,38.04,64.27,0.00,,0.00,0.00,0.00,,,
,10,669,conf-669,388.0266,-2933.598315,,18.26,0.00,0.00,1.00,,1.00,388.03,388.00,,,
,11,746,conf-746,399.8547,-2933.540315,,20.68,36.40,61.50,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,396.6885,-2933.573073,,20.04,15.84,26.76,0.00,,0.00,0.00,0.00,,,
,13,950,conf-950,415.2642,-2933.535088,,23.62,39.68,67.04,0.00,,0.00,0.00,0.00,,,
,14,962,conf-962,394.0872,-2933.589357,,19.52,5.62,9.50,0.00,,0.00,0.03,0.03,,,
,15,966,conf-966,396.9302,-2933.545013,,20.09,33.45,56.52,0.00,,0.00,0.00,0.00,,,
