(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,95,conf-95,291.1811,-2122.463789,248.5,14.66,12.14,20.51,0.00,1.11,0.00,0.00,0.00,300.53,270.79,8.23
,1,112,conf-112,306.8782,-2122.363812,,19.02,74.87,126.51,0.00,,0.00,0.00,0.00,,,
,2,121,conf-121,271.9645,-2122.483134,,8.63,0.00,0.00,1.00,,0.90,271.96,245.06,,,
,3,224,conf-224,289.8166,-2122.401604,,14.26,51.16,86.44,0.00,,0.00,0.00,0.00,,,
,4,234,conf-234,282.7445,-2122.433678,,12.11,31.03,52.44,0.00,,0.00,0.00,0.00,,,
,5,370,conf-370,270.532,-2122.41666,,8.14,41.71,70.48,0.00,,0.00,0.00,0.00,,,
,6,428,conf-428,277.6806,-2122.434811,,10.51,30.32,51.24,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,285.3805,-2122.402901,,12.92,50.35,85.07,0.00,,0.00,0.00,0.00,,,
,8,474,conf-474,299.7183,-2122.416367,,17.09,41.90,70.79,0.00,,0.00,0.00,0.00,,,
,9,578,conf-578,277.1376,-2122.453944,,10.33,18.32,30.95,0.00,,0.00,0.00,0.00,,,
,10,584,conf-584,297.9127,-2122.471627,,16.59,7.22,12.20,0.00,,0.00,0.00,0.00,,,
,11,669,conf-669,260.1382,-2122.48105,,4.47,1.31,2.21,0.11,,0.10,28.56,25.73,,,
,12,727,conf-727,281.7357,-2122.408323,,11.80,46.94,79.32,0.00,,0.00,0.00,0.00,,,
,13,797,conf-797,288.8349,-2122.438842,,13.96,27.79,46.96,0.00,,0.00,0.00,0.00,,,
,14,879,conf-879,296.2857,-2122.417194,,16.13,41.38,69.91,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,290.522,-2122.471492,,14.46,7.31,12.34,0.00,,0.00,0.00,0.00,,,
,16,950,conf-950,272.2169,-2122.479752,,8.71,2.12,3.59,0.03,,0.02,7.55,6.80,,,
