(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,95,conf-95,289.4888,-2122.673494,248.5,14.16,17.59,29.72,0.00,1.00,0.00,0.00,0.00,268.35,268.35,7.40
,1,112,conf-112,310.1648,-2122.588385,,19.88,71.00,119.96,0.00,,0.00,0.00,0.00,,,
,2,121,conf-121,273.8614,-2122.680734,,9.26,13.05,22.05,0.00,,0.00,0.00,0.00,,,
,3,224,conf-224,294.9877,-2122.620945,,15.76,50.56,85.44,0.00,,0.00,0.00,0.00,,,
,4,370,conf-370,270.4981,-2122.623068,,8.13,49.23,83.19,0.00,,0.00,0.00,0.00,,,
,5,428,conf-428,312.0201,-2122.582698,,20.36,74.56,125.99,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,288.2083,-2122.600243,,13.78,63.56,107.39,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,304.3861,-2122.608407,,18.36,58.43,98.73,0.00,,0.00,0.00,0.00,,,
,8,578,conf-578,281.282,-2122.653306,,11.65,30.26,51.13,0.00,,0.00,0.00,0.00,,,
,9,584,conf-584,279.8524,-2122.687662,,11.20,8.70,14.70,0.00,,0.00,0.00,0.00,,,
,10,669,conf-669,268.3488,-2122.701526,,7.40,0.00,0.00,1.00,,1.00,268.35,268.35,,,
,11,727,conf-727,283.2428,-2122.632099,,12.27,43.57,73.61,0.00,,0.00,0.00,0.00,,,
,12,797,conf-797,292.3834,-2122.633475,,15.01,42.70,72.15,0.00,,0.00,0.00,0.00,,,
,13,879,conf-879,298.6753,-2122.636342,,16.80,40.90,69.11,0.00,,0.00,0.00,0.00,,,
,14,883,conf-883,297.1109,-2122.670803,,16.36,19.28,32.57,0.00,,0.00,0.00,0.00,,,
,15,950,conf-950,293.8963,-2122.659832,,15.45,26.16,44.21,0.00,,0.00,0.00,0.00,,,
