(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,95,conf-95,291.2308,-2122.572473,248.5,14.67,10.35,17.50,0.00,1.00,0.00,0.00,0.00,280.81,280.81,11.51
,1,112,conf-112,307.7293,-2122.492629,,19.25,60.46,102.15,0.00,,0.00,0.00,0.00,,,
,2,121,conf-121,283.8938,-2122.562666,,12.47,16.51,27.89,0.00,,0.00,0.00,0.00,,,
,3,224,conf-224,285.9187,-2122.531278,,13.09,36.20,61.17,0.00,,0.00,0.00,0.00,,,
,4,370,conf-370,271.2569,-2122.526018,,8.39,39.51,66.75,0.00,,0.00,0.00,0.00,,,
,5,428,conf-428,300.3531,-2122.538677,,17.26,31.56,53.33,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,276.5602,-2122.540442,,10.15,30.45,51.46,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,305.5621,-2122.512713,,18.67,47.85,80.86,0.00,,0.00,0.00,0.00,,,
,8,578,conf-578,281.5859,-2122.556322,,11.75,20.49,34.62,0.00,,0.00,0.00,0.00,,,
,9,584,conf-584,280.8145,-2122.588975,,11.51,0.00,0.00,1.00,,1.00,280.81,280.81,,,
,10,727,conf-727,282.5124,-2122.541811,,12.04,29.60,50.01,0.00,,0.00,0.00,0.00,,,
,11,797,conf-797,293.5284,-2122.537608,,15.34,32.23,54.46,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,299.9342,-2122.539766,,17.15,30.88,52.17,0.00,,0.00,0.00,0.00,,,
,13,883,conf-883,298.4278,-2122.571853,,16.73,10.74,18.15,0.00,,0.00,0.00,0.00,,,
,14,950,conf-950,295.6786,-2122.563077,,15.96,16.25,27.46,0.00,,0.00,0.00,0.00,,,
