(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,95,conf-95,291.228,-2122.495648,248.5,14.67,12.71,21.47,0.00,1.00,0.00,0.00,0.00,271.80,271.80,8.57
,1,112,conf-112,314.7633,-2122.411146,,21.05,65.73,111.07,0.00,,0.00,0.00,0.00,,,
,2,121,conf-121,307.0123,-2122.416238,,19.06,62.54,105.67,0.00,,0.00,0.00,0.00,,,
,3,224,conf-224,287.363,-2122.4523,,13.52,39.91,67.43,0.00,,0.00,0.00,0.00,,,
,4,370,conf-370,274.5845,-2122.441188,,9.50,46.88,79.22,0.00,,0.00,0.00,0.00,,,
,5,428,conf-428,330.5531,-2122.396966,,24.82,74.63,126.10,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,275.0053,-2122.459251,,9.64,35.55,60.07,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,305.5026,-2122.43262,,18.66,52.26,88.30,0.00,,0.00,0.00,0.00,,,
,8,578,conf-578,293.1989,-2122.45752,,15.25,36.63,61.90,0.00,,0.00,0.00,0.00,,,
,9,584,conf-584,271.8003,-2122.515901,,8.57,0.00,0.00,1.00,,1.00,271.80,271.80,,,
,10,669,conf-669,292.7636,-2122.460513,,15.12,34.76,58.73,0.00,,0.00,0.00,0.00,,,
,11,727,conf-727,270.8665,-2122.470087,,8.26,28.75,48.58,0.00,,0.00,0.00,0.00,,,
,12,797,conf-797,293.2477,-2122.457972,,15.26,36.35,61.42,0.00,,0.00,0.00,0.00,,,
,13,879,conf-879,299.7234,-2122.459037,,17.09,35.68,60.29,0.00,,0.00,0.00,0.00,,,
,14,883,conf-883,298.7361,-2122.492153,,16.82,14.90,25.18,0.00,,0.00,0.00,0.00,,,
,15,950,conf-950,292.1813,-2122.487508,,14.95,17.82,30.10,0.00,,0.00,0.00,0.00,,,
