(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,95,conf-95,303.8582,-2122.365558,248.5,18.22,9.92,16.77,0.00,1.00,0.00,0.00,0.00,274.53,274.53,9.48
,1,112,conf-112,316.0108,-2122.286115,,21.36,59.77,101.00,0.00,,0.00,0.00,0.00,,,
,2,121,conf-121,295.2647,-2122.357656,,15.84,14.88,25.15,0.00,,0.00,0.00,0.00,,,
,3,224,conf-224,302.9474,-2122.310529,,17.97,44.45,75.11,0.00,,0.00,0.00,0.00,,,
,4,370,conf-370,285.9247,-2122.300205,,13.09,50.93,86.06,0.00,,0.00,0.00,0.00,,,
,5,428,conf-428,303.16,-2122.308855,,18.03,45.51,76.89,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,294.2612,-2122.290681,,15.55,56.91,96.16,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,309.7266,-2122.296442,,19.77,53.29,90.05,0.00,,0.00,0.00,0.00,,,
,8,578,conf-578,296.8074,-2122.327669,,16.28,33.70,56.94,0.00,,0.00,0.00,0.00,,,
,9,584,conf-584,286.9736,-2122.369395,,13.41,7.52,12.70,0.00,,0.00,0.00,0.00,,,
,10,669,conf-669,274.532,-2122.381374,,9.48,0.00,0.00,1.00,,1.00,274.53,274.53,,,
,11,727,conf-727,290.7178,-2122.323853,,14.52,36.09,60.99,0.00,,0.00,0.00,0.00,,,
,12,797,conf-797,298.8975,-2122.318936,,16.86,39.18,66.20,0.00,,0.00,0.00,0.00,,,
,13,879,conf-879,304.0908,-2122.32775,,18.28,33.65,56.86,0.00,,0.00,0.00,0.00,,,
,14,883,conf-883,311.1566,-2122.364951,,20.14,10.31,17.41,0.00,,0.00,0.00,0.00,,,
,15,950,conf-950,302.3613,-2122.36374,,17.81,11.07,18.70,0.00,,0.00,0.00,0.00,,,
