(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,112,conf-112,407.2144,-3455.769698,309.5,24.00,58.56,98.94,0.00,1.00,0.00,0.00,0.00,332.35,332.35,6.88
,1,126,conf-126,332.3531,-3455.863014,,6.88,0.00,0.00,1.00,,1.00,332.35,332.35,,,
,2,239,conf-239,410.3212,-3455.773373,,24.57,56.25,95.04,0.00,,0.00,0.00,0.00,,,
,3,242,conf-242,361.6677,-3455.801421,,14.42,38.65,65.31,0.00,,0.00,0.00,0.00,,,
,4,304,conf-304,400.1386,-3455.771667,,22.65,57.32,96.85,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,397.2047,-3455.777811,,22.08,53.46,90.34,0.00,,0.00,0.00,0.00,,,
,6,367,conf-367,384.8181,-3455.778518,,19.57,53.02,89.59,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,406.7106,-3455.787193,,23.90,47.58,80.39,0.00,,0.00,0.00,0.00,,,
,8,535,conf-535,388.7288,-3455.817042,,20.38,28.85,48.74,0.00,,0.00,0.00,0.00,,,
,9,549,conf-549,404.4181,-3455.780378,,23.47,51.85,87.62,0.00,,0.00,0.00,0.00,,,
,10,584,conf-584,429.334,-3455.773841,,27.91,55.96,94.55,0.00,,0.00,0.00,0.00,,,
,11,669,conf-669,408.2882,-3455.779679,,24.20,52.29,88.36,0.00,,0.00,0.00,0.00,,,
,12,684,conf-684,399.1759,-3455.77578,,22.47,54.74,92.49,0.00,,0.00,0.00,0.00,,,
,13,705,conf-705,407.9737,-3455.786833,,24.14,47.80,80.77,0.00,,0.00,0.00,0.00,,,
,14,727,conf-727,423.7286,-3455.77747,,26.96,53.68,90.70,0.00,,0.00,0.00,0.00,,,
,15,745,conf-745,397.2882,-3455.775098,,22.10,55.17,93.21,0.00,,0.00,0.00,0.00,,,
,16,817,conf-817,397.5899,-3455.770725,,22.16,57.91,97.85,0.00,,0.00,0.00,0.00,,,
,17,961,conf-961,368.5555,-3455.776574,,16.02,54.24,91.65,0.00,,0.00,0.00,0.00,,,
,18,981,conf-981,426.6275,-3455.766618,,27.45,60.49,102.21,0.00,,0.00,0.00,0.00,,,
