(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,112,conf-112,406.1417,-3455.994405,309.5,23.80,39.31,66.42,0.00,1.00,0.00,0.00,0.00,339.00,339.00,8.70
,1,126,conf-126,339.0011,-3456.057053,,8.70,0.00,0.00,1.00,,1.00,339.00,339.00,,,
,2,239,conf-239,411.1429,-3455.963758,,24.72,58.54,98.92,0.00,,0.00,0.00,0.00,,,
,3,242,conf-242,432.7032,-3455.948644,,28.47,68.03,114.94,0.00,,0.00,0.00,0.00,,,
,4,304,conf-304,424.5512,-3455.958073,,27.10,62.11,104.95,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,406.679,-3455.967259,,23.90,56.35,95.21,0.00,,0.00,0.00,0.00,,,
,6,367,conf-367,400.6512,-3455.965942,,22.75,57.17,96.60,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,417.6041,-3455.979898,,25.89,48.41,81.81,0.00,,0.00,0.00,0.00,,,
,8,535,conf-535,403.1139,-3455.973802,,23.22,52.24,88.27,0.00,,0.00,0.00,0.00,,,
,9,684,conf-684,390.6225,-3455.976012,,20.77,50.85,85.93,0.00,,0.00,0.00,0.00,,,
,10,705,conf-705,419.2599,-3455.978759,,26.18,49.13,83.01,0.00,,0.00,0.00,0.00,,,
,11,727,conf-727,430.6161,-3455.96636,,28.13,56.91,96.16,0.00,,0.00,0.00,0.00,,,
,12,745,conf-745,426.0342,-3455.96031,,27.35,60.71,102.57,0.00,,0.00,0.00,0.00,,,
,13,817,conf-817,412.052,-3455.964908,,24.89,57.82,97.70,0.00,,0.00,0.00,0.00,,,
,14,961,conf-961,375.9909,-3455.968775,,17.68,55.39,93.60,0.00,,0.00,0.00,0.00,,,
,15,981,conf-981,413.8143,-3455.96746,,25.21,56.22,94.99,0.00,,0.00,0.00,0.00,,,
