(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,112,conf-112,425.4487,-3455.515137,309.5,27.25,0.00,0.00,1.00,1.00,1.00,425.45,425.41,425.49,425.45,27.25
,1,126,conf-126,429.79,-3455.506329,,27.99,5.53,9.34,0.00,,0.00,0.04,0.04,,,
,2,239,conf-239,424.9622,-3455.48729,,27.17,17.47,29.53,0.00,,0.00,0.00,0.00,,,
,3,242,conf-242,444.4954,-3455.482535,,30.37,20.46,34.57,0.00,,0.00,0.00,0.00,,,
,4,304,conf-304,438.1003,-3455.489384,,29.35,16.16,27.30,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,443.8933,-3455.490006,,30.28,15.77,26.65,0.00,,0.00,0.00,0.00,,,
,6,367,conf-367,435.2455,-3455.484247,,28.89,19.38,32.75,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,442.881,-3455.50412,,30.12,6.91,11.68,0.00,,0.00,0.00,0.00,,,
,8,535,conf-535,445.6054,-3455.501341,,30.54,8.66,14.63,0.00,,0.00,0.00,0.00,,,
,9,549,conf-549,442.7512,-3455.502952,,30.10,7.65,12.92,0.00,,0.00,0.00,0.00,,,
,10,584,conf-584,442.6589,-3455.493233,,30.08,13.74,23.22,0.00,,0.00,0.00,0.00,,,
,11,669,conf-669,430.1515,-3455.48879,,28.05,16.53,27.94,0.00,,0.00,0.00,0.00,,,
,12,684,conf-684,429.01,-3455.498223,,27.86,10.61,17.93,0.00,,0.00,0.00,0.00,,,
,13,705,conf-705,433.7131,-3455.502354,,28.64,8.02,13.55,0.00,,0.00,0.00,0.00,,,
,14,727,conf-727,445.6783,-3455.497043,,30.56,11.35,19.18,0.00,,0.00,0.00,0.00,,,
,15,745,conf-745,437.96,-3455.493772,,29.33,13.41,22.65,0.00,,0.00,0.00,0.00,,,
,16,817,conf-817,428.035,-3455.488944,,27.69,16.44,27.77,0.00,,0.00,0.00,0.00,,,
,17,961,conf-961,424.3074,-3455.478865,,27.06,22.76,38.46,0.00,,0.00,0.00,0.00,,,
,18,981,conf-981,452.6613,-3455.486079,,31.63,18.23,30.81,0.00,,0.00,0.00,0.00,,,
