(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,112,conf-112,407.2447,-3455.838022,309.5,24.00,19.30,32.62,0.00,1.00,0.00,0.00,0.00,362.48,362.48,14.62
,1,126,conf-126,422.0421,-3455.835423,,26.67,20.94,35.37,0.00,,0.00,0.00,0.00,,,
,2,239,conf-239,412.8057,-3455.807814,,25.03,38.26,64.65,0.00,,0.00,0.00,0.00,,,
,3,242,conf-242,437.5725,-3455.7918,,29.27,48.31,81.63,0.00,,0.00,0.00,0.00,,,
,4,304,conf-304,424.052,-3455.80125,,27.01,42.38,71.61,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,408.5701,-3455.811223,,24.25,36.12,61.03,0.00,,0.00,0.00,0.00,,,
,6,367,conf-367,422.9645,-3455.795907,,26.83,45.73,77.27,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,418.484,-3455.82338,,26.04,28.49,48.14,0.00,,0.00,0.00,0.00,,,
,8,535,conf-535,362.4796,-3455.868786,,14.62,0.00,0.00,1.00,,1.00,362.48,362.48,,,
,9,549,conf-549,427.9314,-3455.81799,,27.68,31.88,53.86,0.00,,0.00,0.00,0.00,,,
,10,584,conf-584,435.8549,-3455.803769,,28.99,40.80,68.94,0.00,,0.00,0.00,0.00,,,
,11,669,conf-669,423.9892,-3455.80324,,27.00,41.13,69.50,0.00,,0.00,0.00,0.00,,,
,12,684,conf-684,394.8586,-3455.820028,,21.62,30.60,51.70,0.00,,0.00,0.00,0.00,,,
,13,705,conf-705,420.3255,-3455.821023,,26.37,29.97,50.64,0.00,,0.00,0.00,0.00,,,
,14,727,conf-727,432.273,-3455.810101,,28.40,36.83,62.22,0.00,,0.00,0.00,0.00,,,
,15,745,conf-745,427.7025,-3455.804159,,27.64,40.55,68.52,0.00,,0.00,0.00,0.00,,,
,16,817,conf-817,416.799,-3455.808443,,25.74,37.87,63.98,0.00,,0.00,0.00,0.00,,,
,17,961,conf-961,371.7783,-3455.832506,,16.75,22.77,38.47,0.00,,0.00,0.00,0.00,,,
,18,981,conf-981,414.4181,-3455.810956,,25.32,36.29,61.32,0.00,,0.00,0.00,0.00,,,
