,order,file,ave_TM_CS,HF_energy
0,112,conf-112,425.4487,-3455.5151366
1,126,conf-126,429.79,-3455.5063294
2,239,conf-239,424.9622,-3455.4872898
3,242,conf-242,444.4954,-3455.4825349
4,304,conf-304,438.1003,-3455.489384
5,315,conf-315,443.8933,-3455.4900063
6,367,conf-367,435.2455,-3455.4842472
7,474,conf-474,442.881,-3455.5041201
8,535,conf-535,445.6054,-3455.5013412
9,549,conf-549,442.7512,-3455.5029517
10,584,conf-584,442.6589,-3455.4932328
11,669,conf-669,430.1515,-3455.4887896
12,684,conf-684,429.01,-3455.4982228
13,705,conf-705,433.7131,-3455.5023543
14,727,conf-727,445.6783,-3455.4970434
15,745,conf-745,437.96,-3455.493772
16,817,conf-817,428.035,-3455.4889442
17,961,conf-961,424.3074,-3455.4788647
18,981,conf-981,452.6613,-3455.4860791
