(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,290.9487,-2042.521384,237.7,18.30,52.63,88.93,0.00,1.59,0.00,0.00,0.00,431.73,271.90,12.58
,1,102,conf-102,275.2951,-2042.602777,,13.66,1.56,2.63,0.07,,0.05,19.87,12.52,,,
,2,231,conf-231,284.7868,-2042.590509,,16.53,9.25,15.64,0.00,,0.00,0.00,0.00,,,
,3,315,conf-315,283.6723,-2042.556598,,16.21,30.53,51.59,0.00,,0.00,0.00,0.00,,,
,4,428,conf-428,283.4427,-2042.556083,,16.14,30.86,52.14,0.00,,0.00,0.00,0.00,,,
,5,459,conf-459,257.462,-2042.591158,,7.68,8.85,14.95,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,299.3022,-2042.591216,,20.58,8.81,14.89,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,267.6306,-2042.581105,,11.18,15.16,25.61,0.00,,0.00,0.00,0.00,,,
,8,549,conf-549,279.2337,-2042.573909,,14.87,19.67,33.24,0.00,,0.00,0.00,0.00,,,
,9,669,conf-669,268.8483,-2042.604476,,11.59,0.49,0.83,0.44,,0.28,117.53,74.02,,,
,10,727,conf-727,285.3711,-2042.587387,,16.70,11.21,18.95,0.00,,0.00,0.00,0.00,,,
,11,771,conf-771,272.442,-2042.602856,,12.75,1.51,2.55,0.08,,0.05,21.38,13.46,,,
,12,772,conf-772,279.0858,-2042.586179,,14.83,11.97,20.23,0.00,,0.00,0.00,0.00,,,
,13,879,conf-879,278.1554,-2042.590203,,14.54,9.45,15.96,0.00,,0.00,0.00,0.00,,,
,14,950,conf-950,272.9456,-2042.605256,,12.91,0.00,0.00,1.00,,0.63,272.95,171.90,,,
,15,962,conf-962,282.2064,-2042.593115,,15.77,7.62,12.87,0.00,,0.00,0.00,0.00,,,
