(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,18,conf-18,311.6485,-2042.538421,237.7,23.73,81.12,137.07,0.00,1.00,0.00,0.00,0.00,243.40,243.40,2.34
,1,34,conf-34,296.1042,-2042.539881,,19.72,80.21,135.52,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,265.0711,-2042.626797,,10.33,25.67,43.37,0.00,,0.00,0.00,0.00,,,
,3,112,conf-112,257.4051,-2042.587377,,7.66,50.40,85.16,0.00,,0.00,0.00,0.00,,,
,4,231,conf-231,277.0066,-2042.60634,,14.19,38.50,65.06,0.00,,0.00,0.00,0.00,,,
,5,288,conf-288,280.897,-2042.573668,,15.38,59.00,99.70,0.00,,0.00,0.00,0.00,,,
,6,315,conf-315,296.7243,-2042.566331,,19.89,63.61,107.48,0.00,,0.00,0.00,0.00,,,
,7,428,conf-428,282.7104,-2042.568566,,15.92,62.21,105.11,0.00,,0.00,0.00,0.00,,,
,8,459,conf-459,256.3147,-2042.639001,,7.26,18.01,30.43,0.00,,0.00,0.00,0.00,,,
,9,472,conf-472,280.5699,-2042.599704,,15.28,42.67,72.09,0.00,,0.00,0.00,0.00,,,
,10,474,conf-474,265.771,-2042.618627,,10.56,30.79,52.03,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,289.2473,-2042.587759,,17.82,50.16,84.76,0.00,,0.00,0.00,0.00,,,
,12,669,conf-669,270.5849,-2042.626556,,12.15,25.82,43.62,0.00,,0.00,0.00,0.00,,,
,13,684,conf-684,243.3992,-2042.6677,,2.34,0.00,0.00,1.00,,1.00,243.40,243.40,,,
,14,727,conf-727,292.5534,-2042.608731,,18.75,37.00,62.52,0.00,,0.00,0.00,0.00,,,
,15,746,conf-746,276.9608,-2042.56816,,14.18,62.46,105.54,0.00,,0.00,0.00,0.00,,,
,16,771,conf-771,281.3984,-2042.60742,,15.53,37.83,63.91,0.00,,0.00,0.00,0.00,,,
,17,772,conf-772,263.3071,-2042.641758,,9.73,16.28,27.51,0.00,,0.00,0.00,0.00,,,
,18,879,conf-879,285.1003,-2042.6087,,16.63,37.02,62.56,0.00,,0.00,0.00,0.00,,,
,19,950,conf-950,282.7058,-2042.559107,,15.92,68.14,115.14,0.00,,0.00,0.00,0.00,,,
,20,961,conf-961,244.3431,-2042.594977,,2.72,45.63,77.11,0.00,,0.00,0.00,0.00,,,
,21,962,conf-962,282.6015,-2042.610163,,15.89,36.10,61.00,0.00,,0.00,0.00,0.00,,,
