(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,18,conf-18,311.5635,-2042.616724,237.7,23.71,82.54,139.46,0.00,1.00,0.00,0.00,0.00,243.63,243.63,2.43
,1,34,conf-34,296.4795,-2042.616623,,19.83,82.60,139.57,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,264.5516,-2042.704239,,10.15,27.62,46.68,0.00,,0.00,0.00,0.00,,,
,3,112,conf-112,256.6811,-2042.665233,,7.39,52.10,88.03,0.00,,0.00,0.00,0.00,,,
,4,231,conf-231,278.8215,-2042.69303,,14.75,34.66,58.56,0.00,,0.00,0.00,0.00,,,
,5,288,conf-288,267.0223,-2042.714795,,10.98,21.00,35.48,0.00,,0.00,0.00,0.00,,,
,6,315,conf-315,295.3723,-2042.64429,,19.53,65.24,110.24,0.00,,0.00,0.00,0.00,,,
,7,428,conf-428,291.072,-2042.63163,,18.34,73.19,123.66,0.00,,0.00,0.00,0.00,,,
,8,459,conf-459,256.0108,-2042.715354,,7.15,20.65,34.89,0.00,,0.00,0.00,0.00,,,
,9,472,conf-472,313.2273,-2042.595219,,24.11,96.03,162.27,0.00,,0.00,0.00,0.00,,,
,10,474,conf-474,266.1517,-2042.695517,,10.69,33.10,55.92,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,287.9449,-2042.672601,,17.45,47.48,80.22,0.00,,0.00,0.00,0.00,,,
,12,669,conf-669,270.6498,-2042.703429,,12.17,28.13,47.53,0.00,,0.00,0.00,0.00,,,
,13,684,conf-684,243.6306,-2042.748261,,2.43,0.00,0.00,1.00,,1.00,243.63,243.63,,,
,14,727,conf-727,292.8648,-2042.686292,,18.84,38.89,65.70,0.00,,0.00,0.00,0.00,,,
,15,746,conf-746,273.5865,-2042.642059,,13.12,66.64,112.60,0.00,,0.00,0.00,0.00,,,
,16,771,conf-771,280.876,-2042.683943,,15.37,40.36,68.19,0.00,,0.00,0.00,0.00,,,
,17,772,conf-772,263.1043,-2042.71728,,9.66,19.44,32.85,0.00,,0.00,0.00,0.00,,,
,18,879,conf-879,287.8607,-2042.690888,,17.43,36.00,60.83,0.00,,0.00,0.00,0.00,,,
,19,950,conf-950,261.5751,-2042.698203,,9.13,31.41,53.07,0.00,,0.00,0.00,0.00,,,
,20,961,conf-961,265.1617,-2042.628817,,10.36,74.95,126.64,0.00,,0.00,0.00,0.00,,,
,21,962,conf-962,282.2133,-2042.688324,,15.77,37.61,63.55,0.00,,0.00,0.00,0.00,,,
