(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,18,conf-18,316.0935,-2042.42672,237.7,24.80,53.05,89.64,0.00,1.37,0.00,0.00,0.00,368.10,267.85,11.26
,1,34,conf-34,310.4813,-2042.423693,,23.44,54.95,92.85,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,293.1311,-2042.50557,,18.91,3.58,6.04,0.00,,0.00,0.70,0.51,,,
,3,112,conf-112,261.2916,-2042.479116,,9.03,20.18,34.09,0.00,,0.00,0.00,0.00,,,
,4,231,conf-231,298.0894,-2042.502548,,20.26,5.47,9.25,0.00,,0.00,0.03,0.02,,,
,5,288,conf-288,288.8475,-2042.507368,,17.71,2.45,4.14,0.02,,0.01,4.62,3.36,,,
,6,315,conf-315,297.493,-2042.447317,,20.10,40.13,67.81,0.00,,0.00,0.00,0.00,,,
,7,428,conf-428,298.9359,-2042.433738,,20.48,48.65,82.20,0.00,,0.00,0.00,0.00,,,
,8,459,conf-459,276.8644,-2042.490946,,14.15,12.75,21.55,0.00,,0.00,0.00,0.00,,,
,9,472,conf-472,300.0268,-2042.503255,,20.77,5.03,8.50,0.00,,0.00,0.06,0.04,,,
,10,474,conf-474,276.4567,-2042.50003,,14.02,7.05,11.92,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,297.5263,-2042.488935,,20.11,14.01,23.68,0.00,,0.00,0.00,0.00,,,
,12,669,conf-669,288.9157,-2042.510293,,17.73,0.61,1.03,0.36,,0.26,102.75,74.76,,,
,13,684,conf-684,259.9512,-2042.511268,,8.56,0.00,0.00,1.00,,0.73,259.95,189.15,,,
,14,727,conf-727,295.94,-2042.496555,,19.68,9.23,15.60,0.00,,0.00,0.00,0.00,,,
,15,746,conf-746,287.8683,-2042.44771,,17.43,39.88,67.39,0.00,,0.00,0.00,0.00,,,
,16,771,conf-771,285.6751,-2042.490635,,16.79,12.95,21.88,0.00,,0.00,0.00,0.00,,,
,17,772,conf-772,302.0559,-2042.494743,,21.31,10.37,17.52,0.00,,0.00,0.00,0.00,,,
,18,879,conf-879,295.3995,-2042.504502,,19.53,4.25,7.17,0.00,,0.00,0.23,0.16,,,
,19,950,conf-950,286.4827,-2042.504592,,17.03,4.19,7.08,0.00,,0.00,0.24,0.18,,,
,20,961,conf-961,263.4994,-2042.448995,,9.79,39.08,66.03,0.00,,0.00,0.00,0.00,,,
,21,962,conf-962,289.1793,-2042.500227,,17.80,6.93,11.71,0.00,,0.00,0.00,0.00,,,
