(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,234.8158,-1917.47574,224,4.61,2.17,3.67,0.03,1.22,0.02,5.95,4.89,292.54,240.06,6.69
,1,123,conf-123,261.7604,-1917.434124,,14.43,28.29,47.80,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,240.1355,-1917.479206,,6.72,0.00,0.00,1.00,,0.82,240.14,197.06,,,
,3,234,conf-234,258.9031,-1917.421081,,13.48,36.47,61.63,0.00,,0.00,0.00,0.00,,,
,4,304,conf-304,256.9373,-1917.4512,,12.82,17.57,29.69,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,232.4001,-1917.45439,,3.61,15.57,26.31,0.00,,0.00,0.00,0.00,,,
,6,365,conf-365,229.229,-1917.448088,,2.28,19.53,32.99,0.00,,0.00,0.00,0.00,,,
,7,448,conf-448,245.3953,-1917.448607,,8.72,19.20,32.44,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,258.5231,-1917.433709,,13.35,28.55,48.24,0.00,,0.00,0.00,0.00,,,
,9,497,conf-497,240.3398,-1917.477656,,6.80,0.97,1.64,0.19,,0.16,46.45,38.11,,,
,10,553,conf-553,272.9513,-1917.414878,,17.93,40.37,68.20,0.00,,0.00,0.00,0.00,,,
,11,669,conf-669,243.1303,-1917.462216,,7.87,10.66,18.01,0.00,,0.00,0.00,0.00,,,
,12,727,conf-727,245.3376,-1917.463652,,8.70,9.76,16.49,0.00,,0.00,0.00,0.00,,,
,13,772,conf-772,252.3543,-1917.441846,,11.24,23.44,39.61,0.00,,0.00,0.00,0.00,,,
,14,879,conf-879,259.879,-1917.435691,,13.81,27.31,46.14,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,269.8821,-1917.420697,,17.00,36.71,62.04,0.00,,0.00,0.00,0.00,,,
,16,962,conf-962,238.013,-1917.452678,,5.89,16.65,28.13,0.00,,0.00,0.00,0.00,,,
