(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,10,746,conf-746,229.5351,-1917.502124,224,2.41,1.82,3.07,0.05,1.05,0.04,10.66,10.16,256.68,244.68,8.45
,0,34,conf-34,238.0141,-1917.485317,,5.89,12.36,20.89,0.00,,0.00,0.00,0.00,,,
,7,549,conf-549,239.514,-1917.497526,,6.48,4.70,7.95,0.00,,0.00,0.08,0.08,,,
,1,102,conf-102,244.4023,-1917.485475,,8.35,12.26,20.72,0.00,,0.00,0.00,0.00,,,
,15,962,conf-962,245.3816,-1917.50502,,8.71,0.00,0.00,1.00,,0.95,245.38,233.91,,,
,13,883,conf-883,246.2368,-1917.47614,,9.03,18.12,30.62,0.00,,0.00,0.00,0.00,,,
,5,433,conf-433,247.6944,-1917.499269,,9.57,3.61,6.10,0.00,,0.00,0.56,0.53,,,
,12,879,conf-879,248.533,-1917.482293,,9.87,14.26,24.10,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,251.7134,-1917.457839,,11.01,29.61,50.02,0.00,,0.00,0.00,0.00,,,
,11,772,conf-772,252.8941,-1917.463111,,11.43,26.30,44.43,0.00,,0.00,0.00,0.00,,,
,3,123,conf-123,255.1671,-1917.465837,,12.21,24.59,41.54,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,256.0962,-1917.472236,,12.53,20.57,34.76,0.00,,0.00,0.00,0.00,,,
,8,684,conf-684,257.0856,-1917.457633,,12.87,29.74,50.24,0.00,,0.00,0.00,0.00,,,
,2,112,conf-112,267.5109,-1917.470498,,16.27,21.66,36.60,0.00,,0.00,0.00,0.00,,,
,14,950,conf-950,270.5916,-1917.458075,,17.22,29.46,49.77,0.00,,0.00,0.00,0.00,,,
,9,727,conf-727,276.416,-1917.444536,,18.96,37.95,64.13,0.00,,0.00,0.00,0.00,,,
