(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,255.7022,-1917.485243,224,12.4,8.07,13.64,0,1.08,0,0,0,281.5,261.86,14.46
,1,156,conf-156,262.4611,-1917.476798,,14.65,13.37,22.6,0,,0,0,0,,,
,2,197,conf-197,270.9806,-1917.475699,,17.34,14.06,23.76,0,,0,0,0,,,
,3,293,conf-293,241.2427,-1917.47927,,7.15,11.82,19.98,0,,0,0,0,,,
,4,315,conf-315,270.6929,-1917.457791,,17.25,25.3,42.75,0,,0,0,0,,,
,5,448,conf-448,260.2484,-1917.457935,,13.93,25.21,42.6,0,,0,0,0,,,
,6,472,conf-472,257.7276,-1917.472254,,13.09,16.22,27.41,0,,0,0,0,,,
,7,474,conf-474,267.1255,-1917.440664,,16.14,36.05,60.91,0,,0,0,0,,,
,8,549,conf-549,242.0991,-1917.491642,,7.48,4.06,6.86,0,,0,0.25,0.24,,,
,9,584,conf-584,269.5741,-1917.45178,,16.91,29.07,49.12,0,,0,0,0,,,
,10,669,conf-669,251.1964,-1917.495651,,10.83,1.54,2.61,0.07,,0.07,18.51,17.22,,,
,11,684,conf-684,255.4047,-1917.445259,,12.3,33.16,56.04,0,,0,0,0,,,
,12,746,conf-746,250.926,-1917.458042,,10.73,25.14,42.48,0,,0,0,0,,,
,13,771,conf-771,242.2923,-1917.490322,,7.55,4.89,8.26,0,,0,0.06,0.06,,,
,14,876,conf-876,281.1621,-1917.457595,,20.33,25.42,42.96,0,,0,0,0,,,
,15,883,conf-883,262.6721,-1917.498111,,14.72,0,0,1,,0.93,262.67,244.35,,,
,16,950,conf-950,257.0644,-1917.450274,,12.86,30.02,50.72,0,,0,0,0,,,
