(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,263.5732,-1917.534178,224,15.01,20.89,35.30,0.00,1.00,0.00,0.00,0.00,252.87,252.87,11.42
,1,123,conf-123,265.0571,-1917.514033,,15.49,33.53,56.66,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,251.4187,-1917.531251,,10.91,22.73,38.41,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,269.7,-1917.498375,,16.94,43.36,73.26,0.00,,0.00,0.00,0.00,,,
,4,304,conf-304,258.0205,-1917.531923,,13.19,22.31,37.69,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,240.0052,-1917.525371,,6.67,26.42,44.64,0.00,,0.00,0.00,0.00,,,
,6,365,conf-365,243.6418,-1917.49944,,8.06,42.69,72.13,0.00,,0.00,0.00,0.00,,,
,7,448,conf-448,250.2937,-1917.527532,,10.51,25.06,42.35,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,270.4067,-1917.507583,,17.16,37.58,63.50,0.00,,0.00,0.00,0.00,,,
,9,497,conf-497,252.8658,-1917.567474,,11.42,0.00,0.00,1.00,,1.00,252.87,252.87,,,
,10,553,conf-553,280.001,-1917.499871,,20.00,42.42,71.68,0.00,,0.00,0.00,0.00,,,
,11,669,conf-669,244.5807,-1917.543419,,8.41,15.09,25.50,0.00,,0.00,0.00,0.00,,,
,12,727,conf-727,246.9706,-1917.548401,,9.30,11.97,20.22,0.00,,0.00,0.00,0.00,,,
,13,772,conf-772,265.0654,-1917.522366,,15.49,28.30,47.83,0.00,,0.00,0.00,0.00,,,
,14,879,conf-879,272.7914,-1917.499543,,17.89,42.63,72.03,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,257.8526,-1917.515328,,13.13,32.72,55.29,0.00,,0.00,0.00,0.00,,,
,16,962,conf-962,243.8652,-1917.537917,,8.15,18.55,31.34,0.00,,0.00,0.00,0.00,,,
