(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,241.6574,-1917.47374,224,7.31,15.04,25.42,0,1,0,0,0,251.67,251.67,10.99
,1,123,conf-123,265.5312,-1917.450041,,15.64,29.91,50.54,0,,0,0,0,,,
,2,156,conf-156,252.2853,-1917.465496,,11.21,20.22,34.16,0,,0,0,0,,,
,3,234,conf-234,250.9065,-1917.444306,,10.72,33.51,56.63,0,,0,0,0,,,
,4,304,conf-304,258.2481,-1917.464325,,13.26,20.95,35.4,0,,0,0,0,,,
,5,315,conf-315,237.4625,-1917.4775,,5.67,12.68,21.43,0,,0,0,0,,,
,6,365,conf-365,242.8911,-1917.433033,,7.78,40.59,68.58,0,,0,0,0,,,
,7,448,conf-448,249.739,-1917.460813,,10.31,23.15,39.12,0,,0,0,0,,,
,8,472,conf-472,260.8552,-1917.447388,,14.13,31.58,53.36,0,,0,0,0,,,
,9,497,conf-497,251.6702,-1917.497712,,10.99,0,0,1,,1,251.67,251.67,,,
,10,553,conf-553,280.5844,-1917.432793,,20.17,40.74,68.83,0,,0,0,0,,,
,11,669,conf-669,243.1694,-1917.476963,,7.88,13.02,22,0,,0,0,0,,,
,12,727,conf-727,247.2878,-1917.481776,,9.42,10,16.9,0,,0,0,0,,,
,13,772,conf-772,265.6886,-1917.455232,,15.69,26.66,45.04,0,,0,0,0,,,
,14,879,conf-879,262.3357,-1917.445444,,14.61,32.8,55.42,0,,0,0,0,,,
,15,883,conf-883,257.3963,-1917.448155,,12.97,31.1,52.54,0,,0,0,0,,,
,16,962,conf-962,244.5168,-1917.471422,,8.39,16.5,27.87,0,,0,0,0,,,
