(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,266.9646,-1917.366963,224,16.09,11.10,18.75,0.00,1.06,0.00,0.00,0.00,273.74,259.30,13.62
,1,123,conf-123,270.6046,-1917.354549,,17.22,18.89,31.91,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,256.3691,-1917.363818,,12.63,13.07,22.08,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,280.6045,-1917.34783,,20.17,23.10,39.04,0.00,,0.00,0.00,0.00,,,
,4,304,conf-304,276.5161,-1917.366333,,18.99,11.49,19.42,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,250.972,-1917.348585,,10.75,22.63,38.24,0.00,,0.00,0.00,0.00,,,
,6,365,conf-365,256.3728,-1917.328952,,12.63,34.95,59.05,0.00,,0.00,0.00,0.00,,,
,7,448,conf-448,252.6002,-1917.37801,,11.32,4.16,7.04,0.00,,0.00,0.22,0.21,,,
,8,472,conf-472,278.4426,-1917.34865,,19.55,22.59,38.17,0.00,,0.00,0.00,0.00,,,
,9,497,conf-497,259.2132,-1917.384647,,13.58,0.00,0.00,1.00,,0.95,259.21,245.54,,,
,10,553,conf-553,284.0241,-1917.350777,,21.13,21.25,35.91,0.00,,0.00,0.00,0.00,,,
,11,669,conf-669,265.3829,-1917.358635,,15.59,16.32,27.58,0.00,,0.00,0.00,0.00,,,
,12,727,conf-727,261.0768,-1917.381908,,14.20,1.72,2.90,0.05,,0.05,14.31,13.55,,,
,13,772,conf-772,273.8875,-1917.362899,,18.21,13.65,23.06,0.00,,0.00,0.00,0.00,,,
,14,879,conf-879,271.1017,-1917.346587,,17.37,23.88,40.35,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,272.5392,-1917.347716,,17.81,23.17,39.16,0.00,,0.00,0.00,0.00,,,
,16,962,conf-962,258.4018,-1917.362538,,13.31,13.87,23.44,0.00,,0.00,0.00,0.00,,,
