(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,239.8078,-1917.653118,224,6.59,19.28,32.58,0.00,1.00,0.00,0.00,0.00,217.09,217.09,3.18
,1,102,conf-102,245.8641,-1917.647605,,8.89,22.74,38.42,0.00,,0.00,0.00,0.00,,,
,2,112,conf-112,267.4527,-1917.633783,,16.25,31.41,53.08,0.00,,0.00,0.00,0.00,,,
,3,123,conf-123,258.2418,-1917.626575,,13.26,35.94,60.72,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,256.9181,-1917.633087,,12.81,31.85,53.82,0.00,,0.00,0.00,0.00,,,
,6,433,conf-433,248.3942,-1917.660491,,9.82,14.65,24.76,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,217.0883,-1917.683845,,3.18,0.00,0.00,1.00,,1.00,217.09,217.09,,,
,9,549,conf-549,248.1676,-1917.672255,,9.74,7.27,12.29,0.00,,0.00,0.00,0.00,,,
,10,684,conf-684,247.0876,-1917.651831,,9.34,20.09,33.94,0.00,,0.00,0.00,0.00,,,
,11,727,conf-727,249.7658,-1917.645169,,10.32,24.27,41.01,0.00,,0.00,0.00,0.00,,,
,12,746,conf-746,233.8655,-1917.658257,,4.22,16.06,27.13,0.00,,0.00,0.00,0.00,,,
,13,772,conf-772,253.6369,-1917.627502,,11.68,35.35,59.74,0.00,,0.00,0.00,0.00,,,
,14,879,conf-879,241.9453,-1917.662336,,7.42,13.50,22.80,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,223.7193,-1917.667631,,0.13,10.17,17.19,0.00,,0.00,0.00,0.00,,,
,17,950,conf-950,232.6215,-1917.657423,,3.71,16.58,28.01,0.00,,0.00,0.00,0.00,,,
,18,962,conf-962,253.1779,-1917.64044,,11.52,27.24,46.02,0.00,,0.00,0.00,0.00,,,
