(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,258.7633,-1917.408812,224,13.43,5.46,9.23,0.00,1.98,0.00,0.03,0.01,499.89,252.51,11.29
,1,102,conf-102,253.812,-1917.394486,,11.75,14.45,24.42,0.00,,0.00,0.00,0.00,,,
,2,112,conf-112,273.2934,-1917.386091,,18.04,19.72,33.32,0.00,,0.00,0.00,0.00,,,
,3,123,conf-123,263.6387,-1917.377286,,15.04,25.24,42.65,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,263.5319,-1917.400755,,15.00,10.52,17.77,0.00,,0.00,0.00,0.00,,,
,5,433,conf-433,248.6078,-1917.405107,,9.90,7.79,13.16,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,258.5049,-1917.36609,,13.35,32.27,54.53,0.00,,0.00,0.00,0.00,,,
,7,549,conf-549,264.7578,-1917.390746,,15.39,16.80,28.38,0.00,,0.00,0.00,0.00,,,
,8,684,conf-684,258.5816,-1917.396423,,13.37,13.24,22.36,0.00,,0.00,0.00,0.00,,,
,9,727,conf-727,281.4744,-1917.379792,,20.42,23.67,40.00,0.00,,0.00,0.00,0.00,,,
,10,746,conf-746,240.2776,-1917.408193,,6.77,5.85,9.88,0.00,,0.00,0.01,0.01,,,
,11,772,conf-772,255.473,-1917.398172,,12.32,12.14,20.51,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,254.5195,-1917.417516,,11.99,0.00,0.00,1.00,,0.51,254.52,128.57,,,
,13,883,conf-883,262.6533,-1917.393061,,14.72,15.35,25.93,0.00,,0.00,0.00,0.00,,,
,14,950,conf-950,276.5419,-1917.380055,,19.00,23.51,39.72,0.00,,0.00,0.00,0.00,,,
,15,962,conf-962,250.4526,-1917.417496,,10.56,0.01,0.02,0.98,,0.49,245.33,123.92,,,
