(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,241.9345,-1917.503998,224,7.41,8.06,13.62,0,1.01,0,0,0,251.04,247.61,9.53
,1,102,conf-102,246.5867,-1917.500405,,9.16,10.32,17.43,0,,0,0,0,,,
,2,112,conf-112,268.5227,-1917.48482,,16.58,20.09,33.95,0,,0,0,0,,,
,3,123,conf-123,258.8784,-1917.477539,,13.47,24.66,41.67,0,,0,0,0,,,
,4,156,conf-156,257.4255,-1917.488252,,12.98,17.94,30.31,0,,0,0,0,,,
,5,433,conf-433,249.9668,-1917.512624,,10.39,2.65,4.47,0.01,,0.01,2.85,2.81,,,
,6,472,conf-472,261.3693,-1917.464949,,14.3,32.56,55.02,0,,0,0,0,,,
,7,549,conf-549,252.9242,-1917.491332,,11.44,16.01,27.05,0,,0,0,0,,,
,8,684,conf-684,246.5084,-1917.497901,,9.13,11.89,20.08,0,,0,0,0,,,
,9,727,conf-727,257.9355,-1917.48165,,13.16,22.08,37.31,0,,0,0,0,,,
,10,746,conf-746,247.862,-1917.480407,,9.63,22.86,38.63,0,,0,0,0,,,
,11,772,conf-772,249.7056,-1917.486658,,10.29,18.94,32,0,,0,0,0,,,
,12,879,conf-879,237.2985,-1917.511176,,5.6,3.56,6.01,0,,0,0.58,0.58,,,
,13,883,conf-883,251.2125,-1917.502187,,10.83,9.2,15.54,0,,0,0,0,,,
,14,950,conf-950,262.5254,-1917.486063,,14.67,19.31,32.64,0,,0,0,0,,,
,15,962,conf-962,247.6065,-1917.516843,,9.53,0,0,1,,0.99,247.61,244.22,,,
