(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,239.8165,-1917.591631,224,6.60,0.00,0.00,1.00,1.01,0.99,239.82,236.30,243.49,239.92,6.63
,1,102,conf-102,247.0001,-1917.564013,,9.31,17.33,29.28,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,259.0188,-1917.542716,,13.52,30.69,51.86,0.00,,0.00,0.00,0.00,,,
,3,156,conf-156,255.9921,-1917.55355,,12.50,23.90,40.38,0.00,,0.00,0.00,0.00,,,
,5,433,conf-433,242.8162,-1917.575498,,7.75,10.12,17.11,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,221.2401,-1917.57872,,1.25,8.10,13.69,0.00,,0.00,0.00,0.00,,,
,8,549,conf-549,246.6374,-1917.587664,,9.18,2.49,4.21,0.01,,0.01,3.67,3.62,,,
,9,684,conf-684,245.5902,-1917.563128,,8.79,17.89,30.22,0.00,,0.00,0.00,0.00,,,
,10,727,conf-727,250.6023,-1917.561174,,10.62,19.11,32.29,0.00,,0.00,0.00,0.00,,,
,11,746,conf-746,235.252,-1917.573814,,4.78,11.18,18.89,0.00,,0.00,0.00,0.00,,,
,12,772,conf-772,239.7122,-1917.568951,,6.55,14.23,24.05,0.00,,0.00,0.00,0.00,,,
,13,879,conf-879,235.9858,-1917.579988,,5.08,7.31,12.35,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,248.6369,-1917.550553,,9.91,25.78,43.55,0.00,,0.00,0.00,0.00,,,
,16,950,conf-950,246.4753,-1917.570552,,9.12,13.23,22.35,0.00,,0.00,0.00,0.00,,,
,17,962,conf-962,254.1164,-1917.553407,,11.85,23.99,40.53,0.00,,0.00,0.00,0.00,,,
