,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,14,conf-14,334.6698,-2418.417247,255.3,23.72,42.39,71.63,0.00,1.00,0.00,0.00,0.00,298.78,298.74,14.54
1,34,conf-34,302.5353,-2418.389337,,15.61,59.90,101.22,0.00,,0.00,0.00,0.00,,,
2,102,conf-102,303.9043,-2418.431752,,15.99,33.29,56.25,0.00,,0.00,0.00,0.00,,,
3,112,conf-112,305.2592,-2418.457737,,16.37,16.98,28.70,0.00,,0.00,0.00,0.00,,,
4,123,conf-123,333.7274,-2418.43201,,23.50,33.13,55.97,0.00,,0.00,0.00,0.00,,,
5,137,conf-137,292.5107,-2418.468347,,12.72,10.33,17.45,0.00,,0.00,0.00,0.00,,,
6,156,conf-156,316.7738,-2418.436254,,19.41,30.46,51.47,0.00,,0.00,0.00,0.00,,,
7,205,conf-205,297.6532,-2418.470043,,14.23,9.26,15.65,0.00,,0.00,0.00,0.00,,,
8,234,conf-234,304.2207,-2418.462416,,16.08,14.05,23.73,0.00,,0.00,0.00,0.00,,,
9,302,conf-302,287.0008,-2418.438237,,11.05,29.22,49.37,0.00,,0.00,0.00,0.00,,,
10,448,conf-448,279.8851,-2418.476132,,8.78,5.44,9.19,0.00,,0.00,0.03,0.03,,,
11,472,conf-472,297.2805,-2418.455525,,14.12,18.37,31.04,0.00,,0.00,0.00,0.00,,,
12,496,conf-496,330.9629,-2418.438799,,22.86,28.87,48.78,0.00,,0.00,0.00,0.00,,,
13,535,conf-535,306.1732,-2418.447988,,16.62,23.10,39.03,0.00,,0.00,0.00,0.00,,,
14,553,conf-553,298.7466,-2418.484802,,14.54,0.00,0.00,1.00,,1.00,298.75,298.72,,,
15,746,conf-746,310.0515,-2418.451502,,17.66,20.90,35.31,0.00,,0.00,0.00,0.00,,,
16,841,conf-841,277.3166,-2418.466349,,7.94,11.58,19.56,0.00,,0.00,0.00,0.00,,,
17,879,conf-879,302.7985,-2418.479386,,15.69,3.40,5.74,0.00,,0.00,0.97,0.97,,,
18,883,conf-883,308.6885,-2418.418196,,17.30,41.80,70.62,0.00,,0.00,0.00,0.00,,,
19,950,conf-950,309.9023,-2418.436246,,17.62,30.47,51.48,0.00,,0.00,0.00,0.00,,,
20,962,conf-962,328.7281,-2418.432292,,22.34,32.95,55.68,0.00,,0.00,0.00,0.00,,,
