(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,14,conf-14,270.1533,-2418.592139,255.3,5.50,16.30,27.53,0.00,1.00,0.00,0.00,0.00,268.90,268.63,4.96
,1,34,conf-34,324.2192,-2418.572416,,21.26,28.67,48.45,0.00,,0.00,0.00,0.00,,,
,2,95,conf-95,280.5193,-2418.611611,,8.99,4.08,6.89,0.00,,0.00,0.29,0.29,,,
,3,110,conf-110,290.7216,-2418.597112,,12.18,13.17,22.26,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,279.828,-2418.595923,,8.77,13.92,23.52,0.00,,0.00,0.00,0.00,,,
,5,197,conf-197,313.2307,-2418.57955,,18.49,24.20,40.88,0.00,,0.00,0.00,0.00,,,
,6,217,conf-217,291.014,-2418.567885,,12.27,31.51,53.25,0.00,,0.00,0.00,0.00,,,
,7,231,conf-231,312.105,-2418.569135,,18.20,30.73,51.93,0.00,,0.00,0.00,0.00,,,
,8,234,conf-234,291.8174,-2418.595155,,12.51,14.40,24.34,0.00,,0.00,0.00,0.00,,,
,9,305,conf-305,327.1789,-2418.57105,,21.97,29.53,49.89,0.00,,0.00,0.00,0.00,,,
,10,306,conf-306,293.0495,-2418.593184,,12.88,15.64,26.43,0.00,,0.00,0.00,0.00,,,
,11,420,conf-420,268.6157,-2418.618108,,4.96,0.00,0.00,1.00,,1.00,268.62,268.34,,,
,12,472,conf-472,275.2353,-2418.590191,,7.24,17.52,29.60,0.00,,0.00,0.00,0.00,,,
,13,535,conf-535,314.6398,-2418.574642,,18.86,27.28,46.09,0.00,,0.00,0.00,0.00,,,
,14,578,conf-578,301.2123,-2418.587795,,15.24,19.02,32.14,0.00,,0.00,0.00,0.00,,,
,15,586,conf-586,324.5117,-2418.581845,,21.33,22.76,38.45,0.00,,0.00,0.00,0.00,,,
,16,684,conf-684,314.9421,-2418.574081,,18.94,27.63,46.68,0.00,,0.00,0.00,0.00,,,
,17,746,conf-746,299.9054,-2418.575234,,14.87,26.90,45.46,0.00,,0.00,0.00,0.00,,,
,18,879,conf-879,324.2772,-2418.554137,,21.27,40.14,67.83,0.00,,0.00,0.00,0.00,,,
,19,883,conf-883,307.7586,-2418.558421,,17.05,37.45,63.28,0.00,,0.00,0.00,0.00,,,
,20,917,conf-917,305.1554,-2418.581304,,16.34,23.09,39.02,0.00,,0.00,0.00,0.00,,,
,21,950,conf-950,302.6421,-2418.580128,,15.64,23.83,40.27,0.00,,0.00,0.00,0.00,,,
