(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,14,conf-14,331.3286,-2418.420055,255.3,22.95,25.33,42.80,0.00,1.00,0.00,0.00,0.00,303.18,303.05,15.76
,1,34,conf-34,328.2821,-2418.44767,,22.23,8.00,13.52,0.00,,0.00,0.00,0.00,,,
,2,95,conf-95,341.1353,-2418.450017,,25.16,6.53,11.03,0.00,,0.00,0.01,0.01,,,
,3,110,conf-110,323.0275,-2418.443348,,20.97,10.71,18.10,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,300.7641,-2418.443274,,15.12,10.76,18.18,0.00,,0.00,0.00,0.00,,,
,5,197,conf-197,331.3208,-2418.444473,,22.94,10.01,16.91,0.00,,0.00,0.00,0.00,,,
,6,217,conf-217,317.051,-2418.411129,,19.48,30.93,52.26,0.00,,0.00,0.00,0.00,,,
,7,219,conf-219,330.1702,-2418.421019,,22.68,24.73,41.78,0.00,,0.00,0.00,0.00,,,
,8,231,conf-231,329.4462,-2418.440775,,22.51,12.33,20.83,0.00,,0.00,0.00,0.00,,,
,9,234,conf-234,311.1426,-2418.444644,,17.95,9.90,16.73,0.00,,0.00,0.00,0.00,,,
,10,305,conf-305,345.0642,-2418.443015,,26.01,10.92,18.46,0.00,,0.00,0.00,0.00,,,
,11,306,conf-306,315.2404,-2418.45304,,19.01,4.63,7.83,0.00,,0.00,0.13,0.13,,,
,12,420,conf-420,303.0447,-2418.460422,,15.76,0.00,0.00,1.00,,1.00,303.04,302.92,,,
,13,472,conf-472,311.2947,-2418.41694,,17.99,27.29,46.10,0.00,,0.00,0.00,0.00,,,
,14,535,conf-535,329.2653,-2418.445958,,22.46,9.08,15.34,0.00,,0.00,0.00,0.00,,,
,15,578,conf-578,337.4177,-2418.444002,,24.34,10.30,17.41,0.00,,0.00,0.00,0.00,,,
,16,586,conf-586,324.4526,-2418.462371,,21.31,-1.22,-2.07,7.90,,7.90,2564.08,2563.01,,,
,17,684,conf-684,321.8789,-2418.438537,,20.68,13.73,23.20,0.00,,0.00,0.00,0.00,,,
,18,746,conf-746,305.79,-2418.441453,,16.51,11.90,20.11,0.00,,0.00,0.00,0.00,,,
,19,879,conf-879,328.1619,-2418.435321,,22.20,15.75,26.61,0.00,,0.00,0.00,0.00,,,
,20,883,conf-883,321.024,-2418.422943,,20.47,23.52,39.74,0.00,,0.00,0.00,0.00,,,
,21,917,conf-917,315.7297,-2418.442914,,19.14,10.99,18.56,0.00,,0.00,0.00,0.00,,,
,22,950,conf-950,323.3117,-2418.438377,,21.04,13.83,23.37,0.00,,0.00,0.00,0.00,,,
