(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,112,conf-112,324.4802,-2418.623052,255.3,21.32,64.87,109.62,0.00,1.00,0.00,0.00,0.00,248.67,248.67,2.66
,1,121,conf-121,326.0903,-2418.661536,,21.71,40.73,68.81,0.00,,0.00,0.00,0.00,,,
,2,197,conf-197,313.5101,-2418.646746,,18.57,50.01,84.49,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,273.0941,-2418.699485,,6.52,16.91,28.58,0.00,,0.00,0.00,0.00,,,
,4,420,conf-420,283.4141,-2418.683358,,9.92,27.03,45.68,0.00,,0.00,0.00,0.00,,,
,5,472,conf-472,285.7965,-2418.683627,,10.67,26.86,45.39,0.00,,0.00,0.00,0.00,,,
,6,538,conf-538,277.6146,-2418.663576,,8.04,39.45,66.65,0.00,,0.00,0.00,0.00,,,
,7,669,conf-669,254.7357,-2418.674464,,0.22,32.61,55.11,0.00,,0.00,0.00,0.00,,,
,8,727,conf-727,278.0912,-2418.673252,,8.20,33.37,56.39,0.00,,0.00,0.00,0.00,,,
,9,771,conf-771,316.1839,-2418.603982,,19.26,76.84,129.84,0.00,,0.00,0.00,0.00,,,
,10,772,conf-772,269.6606,-2418.695677,,5.33,19.30,32.61,0.00,,0.00,0.00,0.00,,,
,11,797,conf-797,303.0556,-2418.637575,,15.76,55.76,94.22,0.00,,0.00,0.00,0.00,,,
,12,807,conf-807,295.1065,-2418.644028,,13.49,51.71,87.38,0.00,,0.00,0.00,0.00,,,
,13,828,conf-828,248.6742,-2418.726437,,2.66,0.00,0.00,1.00,,1.00,248.67,248.67,,,
,14,879,conf-879,279.149,-2418.644307,,8.54,51.54,87.08,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,306.0898,-2418.672333,,16.59,33.95,57.36,0.00,,0.00,0.00,0.00,,,
,16,950,conf-950,313.0213,-2418.658624,,18.44,42.55,71.90,0.00,,0.00,0.00,0.00,,,
,17,962,conf-962,308.4955,-2418.634292,,17.24,57.82,97.70,0.00,,0.00,0.00,0.00,,,
