(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,112,conf-112,328.5233,-2418.413464,255.3,22.29,31.78,53.69,0,1,0,0,0,333.71,333.27,23.4
,1,121,conf-121,334.3501,-2418.457836,,23.64,3.93,6.64,0,,0,0.44,0.44,,,
,2,197,conf-197,311.9771,-2418.432747,,18.17,19.67,33.24,0,,0,0,0,,,
,3,234,conf-234,312.167,-2418.409289,,18.22,34.39,58.12,0,,0,0,0,,,
,4,420,conf-420,307.0812,-2418.395986,,16.86,42.74,72.22,0,,0,0,0,,,
,5,472,conf-472,320.9625,-2418.452962,,20.46,6.99,11.81,0,,0,0,0,,,
,6,538,conf-538,290.295,-2418.406205,,12.05,36.33,61.39,0,,0,0,0,,,
,7,669,conf-669,318.4858,-2418.392023,,19.84,45.23,76.42,0,,0,0,0,,,
,8,727,conf-727,294.2024,-2418.451727,,13.22,7.76,13.12,0,,0,0,0,,,
,9,771,conf-771,308.9743,-2418.401126,,17.37,39.52,66.77,0,,0,0,0,,,
,10,772,conf-772,269.161,-2418.426568,,5.15,23.55,39.8,0,,0,0,0,,,
,11,797,conf-797,306.9482,-2418.425161,,16.83,24.44,41.29,0,,0,0,0,,,
,12,807,conf-807,331.3188,-2418.37052,,22.94,58.72,99.22,0,,0,0,0,,,
,13,828,conf-828,313.9017,-2418.41226,,18.67,32.53,54.97,0,,0,0,0,,,
,14,879,conf-879,292.0455,-2418.380712,,12.58,52.33,88.42,0,,0,0,0,,,
,15,883,conf-883,333.2677,-2418.464101,,23.39,0,0,1,,1,333.27,332.83,,,
,16,950,conf-950,329.6565,-2418.442986,,22.56,13.25,22.39,0,,0,0,0,,,
,17,962,conf-962,327.8163,-2418.415581,,22.12,30.45,51.44,0,,0,0,0,,,
