(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,19,conf-19,300.2807,-2418.41588,255.3,14.98,24.85,41.98,0.00,2.05,0.00,0.00,0.00,591.31,288.22,11.42
,1,34,conf-34,296.03,-2418.440541,,13.76,9.37,15.84,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,291.6347,-2418.455404,,12.46,0.05,0.08,0.93,,0.45,269.77,131.49,,,
,3,217,conf-217,317.3329,-2418.427531,,19.55,17.54,29.63,0.00,,0.00,0.00,0.00,,,
,4,231,conf-231,275.1414,-2418.443761,,7.21,7.35,12.42,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,311.7724,-2418.451661,,18.11,2.39,4.05,0.02,,0.01,5.45,2.66,,,
,6,404,conf-404,267.1904,-2418.453387,,4.45,1.31,2.22,0.11,,0.05,29.13,14.20,,,
,7,446,conf-446,324.3683,-2418.416855,,21.29,24.24,40.95,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,329.3669,-2418.421665,,22.49,21.22,35.85,0.00,,0.00,0.00,0.00,,,
,9,549,conf-549,312.9215,-2418.436254,,18.41,12.06,20.38,0.00,,0.00,0.00,0.00,,,
,10,684,conf-684,321.2914,-2418.427164,,20.54,17.77,30.02,0.00,,0.00,0.00,0.00,,,
,11,727,conf-727,315.1983,-2418.427331,,19.00,17.66,29.84,0.00,,0.00,0.00,0.00,,,
,12,731,conf-731,296.6903,-2418.445552,,13.95,6.23,10.52,0.00,,0.00,0.01,0.00,,,
,13,797,conf-797,286.9479,-2418.455477,,11.03,0.00,0.00,1.00,,0.49,286.95,139.87,,,
,14,879,conf-879,312.4898,-2418.436538,,18.30,11.88,20.08,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,302.3538,-2418.433878,,15.56,13.55,22.90,0.00,,0.00,0.00,0.00,,,
,16,885,conf-885,287.2883,-2418.433515,,11.13,13.78,23.29,0.00,,0.00,0.00,0.00,,,
,17,962,conf-962,287.4022,-2418.450418,,11.17,3.17,5.36,0.00,,0.00,1.35,0.66,,,
,18,966,conf-966,324.7043,-2418.439649,,21.37,9.93,16.78,0.00,,0.00,0.00,0.00,,,
