(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,121,conf-121,428.698,-3503.542703,343.4,19.90,64.47,108.94,0.00,1.00,0.00,0.00,0.00,376.38,376.38,8.76
,1,123,conf-123,390.7794,-3503.593041,,12.12,32.89,55.57,0.00,,0.00,0.00,0.00,,,
,2,205,conf-205,397.4307,-3503.582747,,13.59,39.35,66.48,0.00,,0.00,0.00,0.00,,,
,3,268,conf-268,424.4809,-3503.544167,,19.10,63.56,107.39,0.00,,0.00,0.00,0.00,,,
,4,304,conf-304,467.379,-3503.404762,,26.53,151.03,255.20,0.00,,0.00,0.00,0.00,,,
,5,334,conf-334,404.4249,-3503.608735,,15.09,23.04,38.93,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,369.8911,-3503.608707,,7.16,23.06,38.96,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,410.7678,-3503.541466,,16.40,65.25,110.25,0.00,,0.00,0.00,0.00,,,
,8,496,conf-496,452.4809,-3503.391715,,24.11,159.22,269.03,0.00,,0.00,0.00,0.00,,,
,9,608,conf-608,376.382,-3503.645452,,8.76,0.00,0.00,1.00,,1.00,376.38,376.38,,,
,10,669,conf-669,387.1349,-3503.588329,,11.30,35.84,60.57,0.00,,0.00,0.00,0.00,,,
,11,727,conf-727,420.1741,-3503.534924,,18.27,69.36,117.19,0.00,,0.00,0.00,0.00,,,
,12,746,conf-746,384.9794,-3503.615583,,10.80,18.74,31.67,0.00,,0.00,0.00,0.00,,,
,13,879,conf-879,357.5748,-3503.627893,,3.96,11.02,18.62,0.00,,0.00,0.00,0.00,,,
,14,883,conf-883,412.7254,-3503.566282,,16.80,49.68,83.94,0.00,,0.00,0.00,0.00,,,
,15,950,conf-950,407.7506,-3503.54149,,15.78,65.24,110.23,0.00,,0.00,0.00,0.00,,,
,16,978,conf-978,424.3835,-3503.561256,,19.08,52.83,89.27,0.00,,0.00,0.00,0.00,,,
,17,981,conf-981,471.1351,-3503.409561,,27.11,148.02,250.11,0.00,,0.00,0.00,0.00,,,
