(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,438.8035,-3503.354949,343.4,21.74,56.47,95.41,0.00,1.01,0.00,0.00,0.00,369.58,367.03,6.44
,1,112,conf-112,375.0345,-3503.440246,,8.44,2.94,4.97,0.01,,0.01,2.60,2.58,,,
,2,123,conf-123,441.7771,-3503.379924,,22.27,40.79,68.93,0.00,,0.00,0.00,0.00,,,
,3,156,conf-156,432.5793,-3503.342211,,20.62,64.46,108.91,0.00,,0.00,0.00,0.00,,,
,4,234,conf-234,413.8049,-3503.389106,,17.01,35.03,59.19,0.00,,0.00,0.00,0.00,,,
,5,250,conf-250,430.5956,-3503.368833,,20.25,47.75,80.69,0.00,,0.00,0.00,0.00,,,
,6,334,conf-334,431.2852,-3503.366037,,20.38,49.51,83.65,0.00,,0.00,0.00,0.00,,,
,7,432,conf-432,366.9754,-3503.444934,,6.42,0.00,0.00,1.00,,0.99,366.98,364.45,,,
,8,433,conf-433,440.4749,-3503.336348,,22.04,68.14,115.13,0.00,,0.00,0.00,0.00,,,
,9,472,conf-472,435.3673,-3503.353957,,21.12,57.09,96.46,0.00,,0.00,0.00,0.00,,,
,10,474,conf-474,445.0522,-3503.37694,,22.84,42.67,72.09,0.00,,0.00,0.00,0.00,,,
,11,497,conf-497,421.963,-3503.347003,,18.62,61.45,103.83,0.00,,0.00,0.00,0.00,,,
,12,549,conf-549,432.0569,-3503.355402,,20.52,56.18,94.93,0.00,,0.00,0.00,0.00,,,
,13,669,conf-669,458.1105,-3503.381011,,25.04,40.11,67.78,0.00,,0.00,0.00,0.00,,,
,14,771,conf-771,405.1384,-3503.401773,,15.24,27.08,45.76,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,451.4758,-3503.384067,,23.94,38.19,64.54,0.00,,0.00,0.00,0.00,,,
,16,961,conf-961,428.5067,-3503.384716,,19.86,37.79,63.85,0.00,,0.00,0.00,0.00,,,
