(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,416.5074,-3503.577304,343.4,17.55,63.31,106.98,0.00,1.00,0.00,0.00,0.00,354.67,354.67,3.18
,1,112,conf-112,427.9158,-3503.55658,,19.75,76.32,128.95,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,367.6707,-3503.577746,,6.60,63.04,106.51,0.00,,0.00,0.00,0.00,,,
,3,156,conf-156,404.322,-3503.558753,,15.07,74.95,126.65,0.00,,0.00,0.00,0.00,,,
,4,234,conf-234,403.281,-3503.604243,,14.85,46.41,78.42,0.00,,0.00,0.00,0.00,,,
,5,250,conf-250,370.509,-3503.602075,,7.32,47.77,80.72,0.00,,0.00,0.00,0.00,,,
,6,334,conf-334,416.0285,-3503.58377,,17.46,59.26,100.12,0.00,,0.00,0.00,0.00,,,
,7,432,conf-432,354.6713,-3503.678202,,3.18,0.00,0.00,1.00,,1.00,354.67,354.67,,,
,8,433,conf-433,427.813,-3503.538965,,19.73,87.37,147.63,0.00,,0.00,0.00,0.00,,,
,9,472,conf-472,416.2853,-3503.578586,,17.51,62.51,105.62,0.00,,0.00,0.00,0.00,,,
,10,474,conf-474,388.5143,-3503.64213,,11.61,22.64,38.25,0.00,,0.00,0.00,0.00,,,
,11,497,conf-497,370.4929,-3503.619848,,7.31,36.62,61.87,0.00,,0.00,0.00,0.00,,,
,12,549,conf-549,399.1242,-3503.56578,,13.96,70.54,119.20,0.00,,0.00,0.00,0.00,,,
,13,669,conf-669,419.6784,-3503.597523,,18.18,50.63,85.54,0.00,,0.00,0.00,0.00,,,
,14,771,conf-771,390.393,-3503.604336,,12.04,46.35,78.32,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,429.036,-3503.575564,,19.96,64.41,108.82,0.00,,0.00,0.00,0.00,,,
,16,961,conf-961,375.3856,-3503.618081,,8.52,37.73,63.74,0.00,,0.00,0.00,0.00,,,
