(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,323.4058,-2782.45585,281.8,12.86,21.86,36.94,0.00,1.00,0.00,0.00,0.00,286.74,286.74,1.72
,1,35,conf-35,340.0815,-2782.405416,,17.14,53.51,90.41,0.00,,0.00,0.00,0.00,,,
,2,90,conf-90,279.9593,-2782.422706,,0.66,42.66,72.08,0.00,,0.00,0.00,0.00,,,
,3,95,conf-95,338.1573,-2782.451496,,16.67,24.59,41.56,0.00,,0.00,0.00,0.00,,,
,4,112,conf-112,350.7094,-2782.422178,,19.65,42.99,72.64,0.00,,0.00,0.00,0.00,,,
,5,123,conf-123,295.5953,-2782.467592,,4.67,14.49,24.49,0.00,,0.00,0.00,0.00,,,
,6,197,conf-197,333.5623,-2782.409099,,15.52,51.20,86.51,0.00,,0.00,0.00,0.00,,,
,7,234,conf-234,346.0075,-2782.416208,,18.56,46.74,78.97,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,372.7505,-2782.371122,,24.40,75.03,126.78,0.00,,0.00,0.00,0.00,,,
,9,651,conf-651,336.2947,-2782.425961,,16.20,40.62,68.63,0.00,,0.00,0.00,0.00,,,
,10,684,conf-684,326.5867,-2782.436286,,13.71,34.14,57.68,0.00,,0.00,0.00,0.00,,,
,11,796,conf-796,383.4133,-2782.334752,,26.50,97.85,165.34,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,318.8082,-2782.4171,,11.61,46.18,78.03,0.00,,0.00,0.00,0.00,,,
,13,961,conf-961,286.7377,-2782.490691,,1.72,0.00,0.00,1.00,,1.00,286.74,286.74,,,
