(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,14,conf-14,395.0446,-2782.291212,281.8,28.67,134.25,226.84,0.00,1.00,0.00,0.00,0.00,312.76,312.76,9.90
,1,34,conf-34,391.1394,-2782.279021,,27.95,141.90,239.77,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,334.1539,-2782.443903,,15.67,38.44,64.95,0.00,,0.00,0.00,0.00,,,
,3,112,conf-112,383.1606,-2782.303085,,26.45,126.80,214.25,0.00,,0.00,0.00,0.00,,,
,4,123,conf-123,386.0303,-2782.301101,,27.00,128.05,216.36,0.00,,0.00,0.00,0.00,,,
,5,129,conf-129,393.5499,-2782.300921,,28.40,128.16,216.55,0.00,,0.00,0.00,0.00,,,
,6,156,conf-156,312.7559,-2782.505157,,9.90,0.00,0.00,1.00,,1.00,312.76,312.76,,,
,7,197,conf-197,381.688,-2782.291181,,26.17,134.27,226.87,0.00,,0.00,0.00,0.00,,,
,8,304,conf-304,341.0386,-2782.441022,,17.37,40.24,68.00,0.00,,0.00,0.00,0.00,,,
,9,451,conf-451,401.1004,-2782.269539,,29.74,147.85,249.82,0.00,,0.00,0.00,0.00,,,
,10,472,conf-472,283.1865,-2782.481691,,0.49,14.72,24.88,0.00,,0.00,0.00,0.00,,,
,11,535,conf-535,368.1235,-2782.332311,,23.45,108.46,183.26,0.00,,0.00,0.00,0.00,,,
,12,607,conf-607,387.7306,-2782.325489,,27.32,112.74,190.50,0.00,,0.00,0.00,0.00,,,
,13,705,conf-705,345.5447,-2782.440281,,18.45,40.71,68.79,0.00,,0.00,0.00,0.00,,,
,14,746,conf-746,395.0517,-2782.287818,,28.67,136.38,230.44,0.00,,0.00,0.00,0.00,,,
,15,797,conf-797,384.8495,-2782.308668,,26.78,123.30,208.33,0.00,,0.00,0.00,0.00,,,
,16,950,conf-950,389.9184,-2782.312082,,27.73,121.16,204.71,0.00,,0.00,0.00,0.00,,,
,17,962,conf-962,386.7362,-2782.31308,,27.13,120.53,203.65,0.00,,0.00,0.00,0.00,,,
,18,981,conf-981,394.2765,-2782.274768,,28.53,144.57,244.28,0.00,,0.00,0.00,0.00,,,
