(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,14,conf-14,395.0446,-2782.386268,281.8,28.67,171.97,290.58,0.00,1.00,0.00,0.00,0.00,295.93,295.93,4.78
,1,34,conf-34,391.1394,-2782.373559,,27.95,179.95,304.05,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,338.7684,-2782.561146,,16.82,62.23,105.16,0.00,,0.00,0.00,0.00,,,
,3,112,conf-112,383.1606,-2782.397724,,26.45,164.78,278.43,0.00,,0.00,0.00,0.00,,,
,4,123,conf-123,385.9198,-2782.395766,,26.98,166.01,280.50,0.00,,0.00,0.00,0.00,,,
,5,129,conf-129,393.5499,-2782.395977,,28.40,165.88,280.28,0.00,,0.00,0.00,0.00,,,
,6,156,conf-156,302.7043,-2782.641771,,6.91,11.64,19.67,0.00,,0.00,0.00,0.00,,,
,7,197,conf-197,317.7381,-2782.598954,,11.31,38.51,65.07,0.00,,0.00,0.00,0.00,,,
,8,304,conf-304,338.0832,-2782.563292,,16.65,60.89,102.88,0.00,,0.00,0.00,0.00,,,
,9,451,conf-451,319.1611,-2782.573832,,11.71,54.27,91.71,0.00,,0.00,0.00,0.00,,,
,10,472,conf-472,287.2351,-2782.597166,,1.89,39.63,66.97,0.00,,0.00,0.00,0.00,,,
,11,535,conf-535,326.6659,-2782.611898,,13.73,30.39,51.35,0.00,,0.00,0.00,0.00,,,
,12,607,conf-607,338.1756,-2782.541822,,16.67,74.36,125.65,0.00,,0.00,0.00,0.00,,,
,13,705,conf-705,295.9313,-2782.660325,,4.78,0.00,0.00,1.00,,1.00,295.93,295.93,,,
,14,746,conf-746,394.984,-2782.383124,,28.66,173.94,293.91,0.00,,0.00,0.00,0.00,,,
,15,797,conf-797,384.8495,-2782.404695,,26.78,160.41,271.04,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,338.7916,-2782.567402,,16.82,58.31,98.52,0.00,,0.00,0.00,0.00,,,
,17,950,conf-950,369.5123,-2782.203386,,23.74,286.73,484.48,0.00,,0.00,0.00,0.00,,,
