(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,329.2865,-2782.479574,281.8,14.42,32.13,54.29,0.00,1.00,0.00,0.00,0.00,292.69,292.69,3.72
,1,35,conf-35,349.5188,-2782.463147,,19.37,42.44,71.71,0.00,,0.00,0.00,0.00,,,
,2,90,conf-90,295.9534,-2782.499699,,4.78,19.50,32.95,0.00,,0.00,0.00,0.00,,,
,3,95,conf-95,341.0242,-2782.455933,,17.37,46.96,79.36,0.00,,0.00,0.00,0.00,,,
,4,112,conf-112,341.8635,-2782.471851,,17.57,36.98,62.48,0.00,,0.00,0.00,0.00,,,
,5,123,conf-123,292.6855,-2782.530777,,3.72,0.00,0.00,1.00,,1.00,292.69,292.69,,,
,6,197,conf-197,351.8456,-2782.433108,,19.91,61.29,103.56,0.00,,0.00,0.00,0.00,,,
,7,234,conf-234,367.1942,-2782.431733,,23.26,62.15,105.01,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,383.1217,-2782.393601,,26.45,86.08,145.44,0.00,,0.00,0.00,0.00,,,
,9,651,conf-651,349.9649,-2782.407471,,19.48,77.37,130.74,0.00,,0.00,0.00,0.00,,,
,10,684,conf-684,317.7566,-2782.458596,,11.32,45.29,76.53,0.00,,0.00,0.00,0.00,,,
,11,796,conf-796,307.777,-2782.495337,,8.44,22.24,37.58,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,332.7307,-2782.449877,,15.31,50.76,85.78,0.00,,0.00,0.00,0.00,,,
,13,883,conf-883,291.816,-2782.510977,,3.43,12.42,20.99,0.00,,0.00,0.00,0.00,,,
,14,961,conf-961,364.8398,-2782.465768,,22.76,40.79,68.93,0.00,,0.00,0.00,0.00,,,
