(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,352.898,-2782.271631,281.8,20.15,28.00,47.32,0.00,1.00,0.00,0.00,0.00,360.60,360.58,21.85
,1,35,conf-35,367.7611,-2782.29306,,23.37,14.56,24.59,0.00,,0.00,0.00,0.00,,,
,2,90,conf-90,330.1903,-2782.255281,,14.66,38.26,64.65,0.00,,0.00,0.00,0.00,,,
,3,95,conf-95,360.5769,-2782.316256,,21.85,0.00,0.00,1.00,,1.00,360.58,360.56,,,
,4,112,conf-112,368.4134,-2782.302635,,23.51,8.55,14.44,0.00,,0.00,0.00,0.00,,,
,5,123,conf-123,375.2587,-2782.259214,,24.91,35.79,60.48,0.00,,0.00,0.00,0.00,,,
,6,197,conf-197,375.2363,-2782.2554,,24.90,38.19,64.52,0.00,,0.00,0.00,0.00,,,
,7,234,conf-234,385.0905,-2782.294911,,26.82,13.39,22.63,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,396.7002,-2782.248001,,28.96,42.83,72.37,0.00,,0.00,0.00,0.00,,,
,9,651,conf-651,375.3298,-2782.299157,,24.92,10.73,18.13,0.00,,0.00,0.00,0.00,,,
,10,684,conf-684,364.8158,-2782.291733,,22.76,15.39,26.00,0.00,,0.00,0.00,0.00,,,
,11,796,conf-796,375.4941,-2782.266226,,24.95,31.39,53.05,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,358.2854,-2782.287062,,21.35,18.32,30.95,0.00,,0.00,0.00,0.00,,,
,13,961,conf-961,370.141,-2782.307023,,23.87,5.79,9.79,0.00,,0.00,0.02,0.02,,,
