(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,327.2742,-2782.694338,281.8,13.89,32.31,54.59,0.00,1.12,0.00,0.00,0.00,325.12,290.69,3.06
,1,35,conf-35,347.858,-2782.680229,,18.99,41.16,69.55,0.00,,0.00,0.00,0.00,,,
,2,90,conf-90,310.1159,-2782.698623,,9.13,29.62,50.05,0.00,,0.00,0.00,0.00,,,
,3,95,conf-95,339.6332,-2782.679843,,17.03,41.40,69.96,0.00,,0.00,0.00,0.00,,,
,4,112,conf-112,329.1926,-2782.682992,,14.40,39.43,66.62,0.00,,0.00,0.00,0.00,,,
,5,123,conf-123,291.7874,-2782.745824,,3.42,0.00,0.00,1.00,,0.89,291.79,260.88,,,
,6,197,conf-197,349.5804,-2782.649161,,19.39,60.66,102.49,0.00,,0.00,0.00,0.00,,,
,7,234,conf-234,362.8205,-2782.655552,,22.33,56.65,95.71,0.00,,0.00,0.00,0.00,,,
,8,315,conf-315,356.8183,-2782.567886,,21.02,111.66,188.66,0.00,,0.00,0.00,0.00,,,
,9,472,conf-472,381.7454,-2782.609782,,26.18,85.37,144.24,0.00,,0.00,0.00,0.00,,,
,10,651,conf-651,321.0098,-2782.684364,,12.21,38.57,65.17,0.00,,0.00,0.00,0.00,,,
,11,684,conf-684,342.8622,-2782.677734,,17.81,42.73,72.19,0.00,,0.00,0.00,0.00,,,
,12,796,conf-796,281.4098,-2782.743813,,0.14,1.26,2.13,0.12,,0.11,33.34,29.81,,,
,13,879,conf-879,324.5508,-2782.678032,,13.17,42.54,71.88,0.00,,0.00,0.00,0.00,,,
,14,883,conf-883,285.2538,-2782.726863,,1.21,11.90,20.10,0.00,,0.00,0.00,0.00,,,
,15,961,conf-961,359.6411,-2782.644339,,21.64,63.68,107.60,0.00,,0.00,0.00,0.00,,,
