(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,14,conf-14,395.0446,-2782.139475,281.8,28.67,124.06,209.63,0.00,1.01,0.00,0.00,0.00,343.99,339.29,16.94
,1,34,conf-34,391.1394,-2782.125329,,27.95,132.94,224.63,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,344.0813,-2782.308515,,18.10,17.99,30.40,0.00,,0.00,0.00,0.00,,,
,3,112,conf-112,383.1606,-2782.143578,,26.45,121.49,205.28,0.00,,0.00,0.00,0.00,,,
,4,123,conf-123,385.9198,-2782.14931,,26.98,117.89,199.20,0.00,,0.00,0.00,0.00,,,
,5,129,conf-129,393.5499,-2782.151021,,28.40,116.82,197.39,0.00,,0.00,0.00,0.00,,,
,6,156,conf-156,341.9517,-2782.303643,,17.59,21.05,35.57,0.00,,0.00,0.00,0.00,,,
,7,197,conf-197,368.4682,-2782.178721,,23.52,99.44,168.02,0.00,,0.00,0.00,0.00,,,
,8,304,conf-304,361.1823,-2782.310662,,21.98,16.64,28.12,0.00,,0.00,0.00,0.00,,,
,9,451,conf-451,401.1004,-2782.125321,,29.74,132.95,224.64,0.00,,0.00,0.00,0.00,,,
,10,472,conf-472,330.1791,-2782.333152,,14.65,2.53,4.28,0.01,,0.01,4.58,4.52,,,
,11,535,conf-535,351.3206,-2782.31042,,19.79,16.80,28.38,0.00,,0.00,0.00,0.00,,,
,12,607,conf-607,352.3826,-2782.278947,,20.03,36.55,61.75,0.00,,0.00,0.00,0.00,,,
,13,705,conf-705,339.412,-2782.337187,,16.97,0.00,0.00,1.00,,0.99,339.41,334.77,,,
,14,746,conf-746,394.984,-2782.140009,,28.66,123.73,209.06,0.00,,0.00,0.00,0.00,,,
,15,797,conf-797,384.8495,-2782.16174,,26.78,110.09,186.02,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,357.3145,-2782.307766,,21.13,18.46,31.19,0.00,,0.00,0.00,0.00,,,
,17,950,conf-950,372.5007,-2782.03476,,24.35,189.77,320.66,0.00,,0.00,0.00,0.00,,,
