(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,329.9306,-2782.553325,281.8,14.59,45.18,76.34,0.00,1.00,0.00,0.00,0.00,293.21,293.21,3.89
,1,35,conf-35,349.3281,-2782.558528,,19.33,41.91,70.82,0.00,,0.00,0.00,0.00,,,
,2,90,conf-90,384.6876,-2782.450361,,26.75,109.79,185.51,0.00,,0.00,0.00,0.00,,,
,3,95,conf-95,340.2783,-2782.566131,,17.19,37.14,62.76,0.00,,0.00,0.00,0.00,,,
,4,112,conf-112,329.0606,-2782.563082,,14.36,39.06,65.99,0.00,,0.00,0.00,0.00,,,
,5,123,conf-123,293.2074,-2782.625324,,3.89,0.00,0.00,1.00,,1.00,293.21,293.21,,,
,6,197,conf-197,366.5951,-2782.499568,,23.13,78.91,133.34,0.00,,0.00,0.00,0.00,,,
,7,234,conf-234,366.3298,-2782.527769,,23.07,61.22,103.44,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,384.9647,-2782.48876,,26.80,85.69,144.80,0.00,,0.00,0.00,0.00,,,
,9,651,conf-651,346.7434,-2782.544724,,18.73,50.58,85.46,0.00,,0.00,0.00,0.00,,,
,10,684,conf-684,343.2758,-2782.557416,,17.91,42.61,72.00,0.00,,0.00,0.00,0.00,,,
,11,796,conf-796,369.4271,-2782.515074,,23.72,69.18,116.90,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,325.6716,-2782.557653,,13.47,42.46,71.75,0.00,,0.00,0.00,0.00,,,
,13,961,conf-961,364.3643,-2782.562507,,22.66,39.42,66.60,0.00,,0.00,0.00,0.00,,,
