(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,19,962,conf-962,295.7667,-2837.93759,280,5.33,12.89,21.78,0.00,1.01,0.00,0.00,0.00,303.04,300.94,6.96
,17,883,conf-883,300.7354,-2837.958128,,6.89,0.00,0.00,1.00,,0.99,300.74,298.65,,,
,6,448,conf-448,308.1779,-2837.940798,,9.14,10.88,18.38,0.00,,0.00,0.00,0.00,,,
,14,746,conf-746,308.7725,-2837.947187,,9.32,6.87,11.60,0.00,,0.00,0.00,0.00,,,
,5,364,conf-364,313.704,-2837.946671,,10.74,7.19,12.15,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,324.856,-2837.933414,,13.81,15.51,26.20,0.00,,0.00,0.00,0.00,,,
,18,961,conf-961,330.4545,-2837.953443,,15.27,2.94,4.97,0.01,,0.01,2.30,2.28,,,
,20,966,conf-966,332.164,-2837.939771,,15.70,11.52,19.46,0.00,,0.00,0.00,0.00,,,
,15,772,conf-772,334.4962,-2837.919215,,16.29,24.42,41.26,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,336.302,-2837.929198,,16.74,18.15,30.67,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,339.5543,-2837.919857,,17.54,24.02,40.58,0.00,,0.00,0.00,0.00,,,
,9,474,conf-474,346.362,-2837.889832,,19.16,42.86,72.41,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,347.857,-2837.918623,,19.51,24.79,41.89,0.00,,0.00,0.00,0.00,,,
,13,662,conf-662,349.615,-2837.873462,,19.91,53.13,89.77,0.00,,0.00,0.00,0.00,,,
,4,242,conf-242,356.72,-2837.861693,,21.51,60.51,102.25,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,356.9713,-2837.909413,,21.56,30.57,51.65,0.00,,0.00,0.00,0.00,,,
,7,450,conf-450,359.2182,-2837.900543,,22.05,36.13,61.06,0.00,,0.00,0.00,0.00,,,
,16,876,conf-876,367.1952,-2837.868219,,23.75,56.42,95.33,0.00,,0.00,0.00,0.00,,,
,10,535,conf-535,373.3782,-2837.839683,,25.01,74.32,125.58,0.00,,0.00,0.00,0.00,,,
,1,123,conf-123,374.3011,-2837.900394,,25.19,36.23,61.21,0.00,,0.00,0.00,0.00,,,
,12,584,conf-584,384.1333,-2837.837349,,27.11,75.79,128.06,0.00,,0.00,0.00,0.00,,,
