(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,360.1263,-2837.661151,280,22.25,7.94,13.42,0.00,1.00,0.00,0.00,0.00,346.20,346.19,19.12
,1,123,conf-123,378.9765,-2837.649834,,26.12,15.04,25.42,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,363.7582,-2837.653388,,23.03,12.81,21.65,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,378.7157,-2837.649819,,26.07,15.05,25.43,0.00,,0.00,0.00,0.00,,,
,4,242,conf-242,345.3632,-2837.627848,,18.93,28.84,48.73,0.00,,0.00,0.00,0.00,,,
,5,364,conf-364,332.1942,-2837.65135,,15.71,14.09,23.81,0.00,,0.00,0.00,0.00,,,
,6,448,conf-448,367.6861,-2837.600114,,23.85,46.24,78.13,0.00,,0.00,0.00,0.00,,,
,7,450,conf-450,371.1916,-2837.647642,,24.57,16.42,27.74,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,346.1927,-2837.673807,,19.12,0.00,0.00,1.00,,1.00,346.19,346.18,,,
,9,474,conf-474,355.6388,-2837.663777,,21.27,6.29,10.63,0.00,,0.00,0.01,0.01,,,
,10,535,conf-535,384.7671,-2837.585975,,27.23,55.11,93.13,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,391.9818,-2837.646799,,28.57,16.95,28.64,0.00,,0.00,0.00,0.00,,,
,12,578,conf-578,369.1712,-2837.639232,,24.15,21.70,36.66,0.00,,0.00,0.00,0.00,,,
,13,584,conf-584,393.1944,-2837.592561,,28.79,50.98,86.14,0.00,,0.00,0.00,0.00,,,
,14,662,conf-662,369.875,-2837.611611,,24.30,39.03,65.94,0.00,,0.00,0.00,0.00,,,
,15,746,conf-746,377.4265,-2837.657962,,25.81,9.94,16.80,0.00,,0.00,0.00,0.00,,,
,16,772,conf-772,363.0853,-2837.653341,,22.88,12.84,21.70,0.00,,0.00,0.00,0.00,,,
,17,876,conf-876,376.7921,-2837.605085,,25.69,43.12,72.86,0.00,,0.00,0.00,0.00,,,
,18,883,conf-883,359.95,-2837.632519,,22.21,25.91,43.78,0.00,,0.00,0.00,0.00,,,
,19,961,conf-961,348.2044,-2837.657511,,19.59,10.23,17.28,0.00,,0.00,0.00,0.00,,,
,20,962,conf-962,355.8682,-2837.628667,,21.32,28.32,47.86,0.00,,0.00,0.00,0.00,,,
,21,966,conf-966,344.5668,-2837.662171,,18.74,7.30,12.34,0.00,,0.00,0.00,0.00,,,
